Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;3977.0;0.0;3977.0;False;False;False;False;False;False;False;False;False;False;True
cc $;3977.325;0.117;3977.442;True;False;False;False;False;False;False;False;False;False;False
cc;3979.029;0.127;3979.156;True;False;False;False;False;False;False;False;False;False;False
cc;3981.311;0.127;3981.438;True;False;False;False;False;False;False;False;False;False;False
cc nf;3981.593;0.113;3981.7059999999997;True;False;False;False;False;False;False;False;False;False;False
cc nf;3983.303;0.139;3983.442;True;False;False;False;False;False;False;False;False;False;False
cc $;3984.059;0.136;3984.195;True;False;False;False;False;False;False;False;False;False;False
cc $;3987.418;0.123;3987.541;True;False;False;False;False;False;False;False;False;False;False
cc $;3989.932;0.121;3990.053;True;False;False;False;False;False;False;False;False;False;False
cc nf 1;3991.821;0.09;3991.911;True;False;False;False;False;False;False;False;False;False;False
cc;3993.339;0.121;3993.46;True;False;False;False;False;False;False;False;False;False;False
fu cc+soc nf ?;3994.785;0.203;3994.988;False;False;False;False;False;False;False;False;False;True;False
cc $;3995.102;0.157;3995.259;True;False;False;False;False;False;False;False;False;False;False
s * $;3995.389;0.038;3995.427;False;True;False;False;False;False;False;False;False;False;False
soc $ *;3995.544;0.041;3995.585;False;False;False;False;False;True;False;False;False;False;False
s *;3995.839;0.025;3995.864;False;True;False;False;False;False;False;False;False;False;False
cc;3998.777;0.115;3998.892;True;False;False;False;False;False;False;False;False;False;False
unk nf $;4000.458;0.075;4000.533;False;False;False;False;False;False;False;False;False;True;False
cc x;4002.153;0.127;4002.2799999999997;True;False;False;False;False;False;False;False;False;False;False
unk nf $;4003.14;0.2;4003.3399999999997;False;False;False;False;False;False;False;False;False;True;False
cc;4007.135;0.125;4007.26;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg;4009.085;0.089;4009.174;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg;4010.337;0.109;4010.446;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg;4012.017;0.091;4012.1079999999997;False;False;False;False;False;False;False;False;False;True;False
beep 01:18:00 (1);4014.183;0.04;4014.183;False;False;False;False;False;False;False;True;False;False;False
synch 01:18:00 ($);4014.357;0.189;4014.546;False;False;False;False;False;False;False;False;True;False;False
cc $;4015.637;0.085;4015.722;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg;4017.937;0.101;4018.038;False;False;False;False;False;False;False;False;False;True;False
cc;4018.923;0.133;4019.0559999999996;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg $;4020.016;0.091;4020.107;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg;4021.415;0.107;4021.522;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg $;4022.559;0.085;4022.6440000000002;False;False;False;False;False;False;False;False;False;True;False
cc x;4023.707;0.091;4023.798;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg;4024.697;0.103;4024.8;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg $;4026.485;0.056;4026.541;False;False;False;False;False;False;False;False;False;True;False
na;4026.559;0.023;4026.5820000000003;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg $;4029.729;0.097;4029.826;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg;4031.325;0.089;4031.4139999999998;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg;4032.753;0.074;4032.827;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg $;4035.115;0.101;4035.216;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg $;4036.658;0.074;4036.732;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg $;4037.736;0.103;4037.839;False;False;False;False;False;False;False;False;False;True;False
na;4038.817;0.045;4038.862;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg $;4039.443;0.118;4039.561;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg $;4041.841;0.157;4041.998;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg;4042.525;0.085;4042.61;False;False;False;False;False;False;False;False;False;True;False
cc $;4043.568;0.137;4043.7050000000004;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg $;4044.797;0.064;4044.861;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg;4046.317;0.077;4046.3940000000002;False;False;False;False;False;False;False;False;False;True;False
cc $;4047.744;0.102;4047.846;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg 1;4049.153;0.071;4049.2239999999997;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg;4050.891;0.077;4050.9680000000003;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg $;4051.996;0.075;4052.071;False;False;False;False;False;False;False;False;False;True;False
cc;4053.459;0.085;4053.544;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg;4056.999;0.109;4057.1079999999997;False;False;False;False;False;False;False;False;False;True;False
na;4066.033;0.061;4066.094;False;False;False;False;False;False;False;False;False;True;False
fu cc+soc $ * ?;4067.782;0.083;4067.8650000000002;False;False;False;False;False;False;False;False;False;True;False
cc;4070.057;0.081;4070.138;True;False;False;False;False;False;False;False;False;False;False
cc;4072.135;0.095;4072.23;True;False;False;False;False;False;False;False;False;False;False
cc $;4076.495;0.11;4076.605;True;False;False;False;False;False;False;False;False;False;False
cc;4083.891;0.111;4084.002;True;False;False;False;False;False;False;False;False;False;False
cc;4089.313;0.129;4089.442;True;False;False;False;False;False;False;False;False;False;False
cc;4092.141;0.115;4092.256;True;False;False;False;False;False;False;False;False;False;False
cc $;4094.762;0.128;4094.8900000000003;True;False;False;False;False;False;False;False;False;False;False
na;4095.737;0.117;4095.8540000000003;False;False;False;False;False;False;False;False;False;True;False
cc;4099.101;0.115;4099.215999999999;True;False;False;False;False;False;False;False;False;False;False
cc x;4105.17;0.061;4105.231;True;False;False;False;False;False;False;False;False;False;False
cc $;4117.483;0.116;4117.599;True;False;False;False;False;False;False;False;False;False;False
cc $;4120.378;0.112;4120.49;True;False;False;False;False;False;False;False;False;False;False
cc $;4122.068;0.092;4122.16;True;False;False;False;False;False;False;False;False;False;False
cc nf;4127.075;0.095;4127.17;True;False;False;False;False;False;False;False;False;False;False
s nf 1 ?;4130.035;0.026;4130.061;False;True;False;False;False;False;False;False;False;False;False
cc $;4130.679;0.107;4130.786;True;False;False;False;False;False;False;False;False;False;False
cc nf 1;4131.605;0.104;4131.709;True;False;False;False;False;False;False;False;False;False;False
cc;4132.867;0.115;4132.982;True;False;False;False;False;False;False;False;False;False;False
cc nf;4133.283;0.097;4133.38;True;False;False;False;False;False;False;False;False;False;False
cc nf 1;4135.203;0.093;4135.296;True;False;False;False;False;False;False;False;False;False;False
cc $;4139.733;0.134;4139.867;True;False;False;False;False;False;False;False;False;False;False
cc $;4141.853;0.144;4141.997;True;False;False;False;False;False;False;False;False;False;False
cc;4145.248;0.115;4145.362999999999;True;False;False;False;False;False;False;False;False;False;False
cc;4149.171;0.111;4149.282;True;False;False;False;False;False;False;False;False;False;False
cc;4152.461;0.139;4152.6;True;False;False;False;False;False;False;False;False;False;False
cc $;4159.697;0.125;4159.822;True;False;False;False;False;False;False;False;False;False;False
cc x;4164.949;0.159;4165.107999999999;True;False;False;False;False;False;False;False;False;False;False
cc nf 1;4166.742;0.088;4166.83;True;False;False;False;False;False;False;False;False;False;False
cc $;4168.412;0.13;4168.542;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg $;4171.718;0.124;4171.842;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg $;4174.911;0.133;4175.044;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg $;4180.665;0.142;4180.807;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg $;4183.373;0.125;4183.498;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg;4187.213;0.069;4187.282;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg $;4189.954;0.133;4190.0869999999995;False;False;False;False;False;False;False;False;False;True;False
cc nf 1;4193.531;0.145;4193.676;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg;4193.98;0.12;4194.099999999999;False;False;False;False;False;False;False;False;False;True;False
fu cc+agg $;4202.209;0.125;4202.334;False;False;False;False;False;False;False;False;False;True;False
cc nf;4202.621;0.085;4202.706;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg;4204.643;0.147;4204.79;False;False;False;False;False;False;False;False;False;True;False
cc nf;4205.693;0.137;4205.83;True;False;False;False;False;False;False;False;False;False;False
cc nf 1;4207.052;0.112;4207.164;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg $;4208.504;0.113;4208.617;False;False;False;False;False;False;False;False;False;True;False
