Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;4189.0;0.0;4189.0;False;False;False;False;False;False;False;False;False;False;True
synch 01:19:30;4315.447;1.133;4316.58;False;False;False;False;False;False;False;False;True;False;False
cc * ;4357.373;0.092;4357.464999999999;True;False;False;False;False;False;False;False;False;False;False
cc nf;4366.524;0.195;4366.719;True;False;False;False;False;False;False;False;False;False;False
cc;4388.549;0.185;4388.734;True;False;False;False;False;False;False;False;False;False;False
cc;4394.081;0.253;4394.334;True;False;False;False;False;False;False;False;False;False;False
cc;4395.33;0.209;4395.539;True;False;False;False;False;False;False;False;False;False;False
cc;4398.645;0.156;4398.801;True;False;False;False;False;False;False;False;False;False;False
cc x;4404.765;0.165;4404.93;True;False;False;False;False;False;False;False;False;False;False
synch 01:21:00;4405.535;1.189;4406.724;False;False;False;False;False;False;False;False;True;False;False
cc nf;4410.218;0.107;4410.325;True;False;False;False;False;False;False;False;False;False;False
cc;4410.442;0.195;4410.637;True;False;False;False;False;False;False;False;False;False;False
cc;4411.666;0.199;4411.865;True;False;False;False;False;False;False;False;False;False;False
soc nf;4412.027;0.19;4412.217;False;False;False;False;False;True;False;False;False;False;False
cc nf;4413.246;0.102;4413.348;True;False;False;False;False;False;False;False;False;False;False
cc x;4413.612;0.121;4413.733;True;False;False;False;False;False;False;False;False;False;False
cc x;4416.996;0.175;4417.171;True;False;False;False;False;False;False;False;False;False;False
cc x;4426.679;0.156;4426.835;True;False;False;False;False;False;False;False;False;False;False
cc;4429.05;0.165;4429.215;True;False;False;False;False;False;False;False;False;False;False
cc x;4432.783;0.146;4432.929;True;False;False;False;False;False;False;False;False;False;False
cc;4435.977;0.151;4436.128;True;False;False;False;False;False;False;False;False;False;False
cc;4437.995;0.204;4438.199;True;False;False;False;False;False;False;False;False;False;False
unk nf;4438.483;0.282;4438.765;False;False;False;False;False;False;False;False;False;True;False
cc;4440.892;0.16;4441.052;True;False;False;False;False;False;False;False;False;False;False
cc;4443.811;0.082;4443.893;True;False;False;False;False;False;False;False;False;False;False
cc;4445.03;0.151;4445.181;True;False;False;False;False;False;False;False;False;False;False
cc;4447.517;0.156;4447.673;True;False;False;False;False;False;False;False;False;False;False
skipon;4449.324;0.0;4449.324;False;False;False;False;False;False;False;False;False;False;True
soc nf;4449.355;0.165;4449.5199999999995;False;False;False;False;False;True;False;False;False;False;False
unk nf;4449.638;0.102;4449.74;False;False;False;False;False;False;False;False;False;True;False
soc *;4450.238;0.175;4450.4130000000005;False;False;False;False;False;True;False;False;False;False;False
agg nf %;4450.336;0.445;4450.781;False;False;False;True;False;False;False;False;False;False;False
agg nf;4451.159;0.228;4451.387;False;False;False;True;False;False;False;False;False;False;False
agg nf;4451.54;0.087;4451.627;False;False;False;True;False;False;False;False;False;False;False
agg nf;4451.696;0.1;4451.796;False;False;False;True;False;False;False;False;False;False;False
agg nf %;4451.954;0.268;4452.222;False;False;False;True;False;False;False;False;False;False;False
soc %;4452.183;0.151;4452.334;False;False;False;False;False;True;False;False;False;False;False
agg nf;4452.366;0.401;4452.767;False;False;False;True;False;False;False;False;False;False;False
skipoff;4453.356;0.0;4453.356;False;False;False;False;False;False;False;False;False;False;True
cc;4454.146;0.156;4454.302;True;False;False;False;False;False;False;False;False;False;False
cc x;4456.515;0.122;4456.637000000001;True;False;False;False;False;False;False;False;False;False;False
cc *;4461.713;0.146;4461.8589999999995;True;False;False;False;False;False;False;False;False;False;False
cc x;4463.462;0.209;4463.671;True;False;False;False;False;False;False;False;False;False;False
cc x;4465.457;0.175;4465.6320000000005;True;False;False;False;False;False;False;False;False;False;False
unk (maybe soc x);4466.495;0.18;4466.675;False;False;False;False;False;True;False;False;False;False;False
agg nf;4467.938;0.175;4468.113;False;False;False;True;False;False;False;False;False;False;False
cc x;4468.275;0.136;4468.411;True;False;False;False;False;False;False;False;False;False;False
cc;4470.381;0.141;4470.522;True;False;False;False;False;False;False;False;False;False;False
cc;4471.931;0.18;4472.111;True;False;False;False;False;False;False;False;False;False;False
cc;4473.618;0.156;4473.774;True;False;False;False;False;False;False;False;False;False;False
cc;4476.446;0.136;4476.582;True;False;False;False;False;False;False;False;False;False;False
cc nf;4478.48;0.146;4478.625999999999;True;False;False;False;False;False;False;False;False;False;False
cc;4478.86;0.17;4479.03;True;False;False;False;False;False;False;False;False;False;False
cc;4480.425;0.146;4480.571;True;False;False;False;False;False;False;False;False;False;False
cc nf;4481.805;0.156;4481.961;True;False;False;False;False;False;False;False;False;False;False
cc;4482.375;0.156;4482.531;True;False;False;False;False;False;False;False;False;False;False
