Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;4358.09;0.0;4358.09;False;False;False;False;False;False;False;False;False;False;True
fu cc+soc;4366.9;0.073;4366.973;False;False;False;False;False;False;False;False;False;True;False
synch 01:16:30;4376.1;1.602;4377.702;False;False;False;False;False;False;False;False;True;False;False
soc #;4492.146;0.158;4492.304;False;False;False;False;False;True;False;False;False;False;False
soc #;4508.937;0.166;4509.103;False;False;False;False;False;True;False;False;False;False;False
cc;4541.877;0.153;4542.030000000001;True;False;False;False;False;False;False;False;False;False;False
cc;4551.202;0.076;4551.278;True;False;False;False;False;False;False;False;False;False;False
synch 01:19:30;4556.245;1.706;4557.951;False;False;False;False;False;False;False;False;True;False;False
synch 01:21:00;4646.582;0.976;4647.558;False;False;False;False;False;False;False;False;True;False;False
cc;4681.627;0.125;4681.752;True;False;False;False;False;False;False;False;False;False;False
cc;4682.412;0.093;4682.505;True;False;False;False;False;False;False;False;False;False;False
cc;4684.45;0.109;4684.559;True;False;False;False;False;False;False;False;False;False;False
cc;4687.667;0.116;4687.783;True;False;False;False;False;False;False;False;False;False;False
cc;4688.468;0.093;4688.561;True;False;False;False;False;False;False;False;False;False;False
cc;4693.181;0.104;4693.285;True;False;False;False;False;False;False;False;False;False;False
cc;4708.814;0.128;4708.942;True;False;False;False;False;False;False;False;False;False;False
fu s+cc;4716.544;0.052;4716.596;True;False;False;False;False;False;False;False;False;False;False
synch 01:22:30;4736.608;1.791;4738.399;False;False;False;False;False;False;False;False;True;False;False
cc;4749.8;0.079;4749.879;True;False;False;False;False;False;False;False;False;False;False
cc;4803.901;0.098;4803.999;True;False;False;False;False;False;False;False;False;False;False
synch 01:24:00 ;4826.774;1.075;4827.849;False;False;False;False;False;False;False;False;True;False;False
soc #;4891.908;0.144;4892.052000000001;False;False;False;False;False;True;False;False;False;False;False
cc;4902.444;0.115;4902.559;True;False;False;False;False;False;False;False;False;False;False
synch 01:25:30;4917.005;1.805;4918.81;False;False;False;False;False;False;False;False;True;False;False
cc;4917.516;0.087;4917.603;True;False;False;False;False;False;False;False;False;False;False
cc;4938.211;0.084;4938.295;True;False;False;False;False;False;False;False;False;False;False
cc;4957.563;0.076;4957.639;True;False;False;False;False;False;False;False;False;False;False
cc ? x;4968.054;0.101;4968.155;True;False;False;False;False;False;False;False;False;False;False
cc;4972.108;0.112;4972.22;True;False;False;False;False;False;False;False;False;False;False
cc;4978.807;0.095;4978.902;True;False;False;False;False;False;False;False;False;False;False
cc;4984.347;0.082;4984.429;True;False;False;False;False;False;False;False;False;False;False
cc;4998.885;0.057;4998.942;True;False;False;False;False;False;False;False;False;False;False
synch 01:27:00;5007.185;0.998;5008.183;False;False;False;False;False;False;False;False;True;False;False
cc ?;5046.999;0.057;5047.056;True;False;False;False;False;False;False;False;False;False;False
cc;5062.547;0.087;5062.634;True;False;False;False;False;False;False;False;False;False;False
synch 01:30:00;5187.396;0.946;5188.342;False;False;False;False;False;False;False;False;True;False;False
cc;5192.808;0.065;5192.873;True;False;False;False;False;False;False;False;False;False;False
cc;5200.952;0.087;5201.039000000001;True;False;False;False;False;False;False;False;False;False;False
cc;5203.887;0.062;5203.949;True;False;False;False;False;False;False;False;False;False;False
cc;5208.276;0.073;5208.349;True;False;False;False;False;False;False;False;False;False;False
cc;5209.475;0.09;5209.5650000000005;True;False;False;False;False;False;False;False;False;False;False
cc;5212.181;0.087;5212.268;True;False;False;False;False;False;False;False;False;False;False
