Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;3999.0;0.0;3999.0;False;False;False;False;False;False;False;False;False;False;True
synch 01:15:00;4055.26;1.074;4056.3340000000003;False;False;False;False;False;False;False;False;True;False;False
cc nf  ;4109.293;0.106;4109.398999999999;True;False;False;False;False;False;False;False;False;False;False
cc nf ;4110.02;0.12;4110.14;True;False;False;False;False;False;False;False;False;False;False
synch 01:16:30;4145.225;2.127;4147.352000000001;False;False;False;False;False;False;False;False;True;False;False
s nf;4146.459;0.028;4146.487;False;True;False;False;False;False;False;False;False;False;False
cc;4168.337;0.148;4168.485000000001;True;False;False;False;False;False;False;False;False;False;False
cc;4179.7;0.145;4179.845;True;False;False;False;False;False;False;False;False;False;False
cc;4194.76;0.152;4194.912;True;False;False;False;False;False;False;False;False;False;False
synch 01:18:00;4235.303;0.939;4236.242;False;False;False;False;False;False;False;False;True;False;False
cc;4237.431;0.148;4237.579;True;False;False;False;False;False;False;False;False;False;False
cc nf;4238.484;0.099;4238.5830000000005;True;False;False;False;False;False;False;False;False;False;False
soc nf;4248.459;0.193;4248.652;False;False;False;False;False;True;False;False;False;False;False
cc nf ?;4249.168;0.076;4249.244;True;False;False;False;False;False;False;False;False;False;False
cc;4273.318;0.105;4273.423;True;False;False;False;False;False;False;False;False;False;False
cc nf;4281.722;0.129;4281.851;True;False;False;False;False;False;False;False;False;False;False
cc;4282.516;0.114;4282.629999999999;True;False;False;False;False;False;False;False;False;False;False
cc;4300.548;0.134;4300.682;True;False;False;False;False;False;False;False;False;False;False
cc nf;4308.759;0.093;4308.852;True;False;False;False;False;False;False;False;False;False;False
synch 01:19:30;4325.287;1.679;4326.966;False;False;False;False;False;False;False;False;True;False;False
cc;4327.522;0.14;4327.662;True;False;False;False;False;False;False;False;False;False;False
cc;4337.567;0.129;4337.696;True;False;False;False;False;False;False;False;False;False;False
cc;4376.738;0.152;4376.89;True;False;False;False;False;False;False;False;False;False;False
cc;4392.62;0.14;4392.76;True;False;False;False;False;False;False;False;False;False;False
cc;4399.985;0.09;4400.075;True;False;False;False;False;False;False;False;False;False;False
cc nf;4400.489;0.12;4400.6089999999995;True;False;False;False;False;False;False;False;False;False;False
cc nf;4402.719;0.131;4402.85;True;False;False;False;False;False;False;False;False;False;False
cc;4407.385;0.114;4407.499;True;False;False;False;False;False;False;False;False;False;False
synch 01:22:30;4505.435;2.142;4507.577;False;False;False;False;False;False;False;False;True;False;False
sq s+cc;4517.365;0.152;4517.517;True;False;False;False;False;False;False;False;False;False;False
s x;4536.281;0.032;4536.313;False;True;False;False;False;False;False;False;False;False;False
s x;4536.633;0.029;4536.662;False;True;False;False;False;False;False;False;False;False;False
cc ;4546.3;0.167;4546.467000000001;True;False;False;False;False;False;False;False;False;False;False
s;4547.985;0.02;4548.005;False;True;False;False;False;False;False;False;False;False;False
cc nf;4549.702;0.145;4549.847000000001;True;False;False;False;False;False;False;False;False;False;False
s;4549.995;0.026;4550.021;False;True;False;False;False;False;False;False;False;False;False
soc *;4550.889;0.208;4551.097;False;False;False;False;False;True;False;False;False;False;False
soc;4551.182;0.035;4551.217;False;False;False;False;False;True;False;False;False;False;False
soc nf;4551.393;0.249;4551.642;False;False;False;False;False;True;False;False;False;False;False
soc;4551.666;0.035;4551.701;False;False;False;False;False;True;False;False;False;False;False
cc nf;4570.796;0.106;4570.902;True;False;False;False;False;False;False;False;False;False;False
