Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;4032.0;0.0;4032.0;False;False;False;False;False;False;False;False;False;False;True
cc;4043.536;0.135;4043.6710000000003;True;False;False;False;False;False;False;False;False;False;False
synch 01:15:00;4087.353;0.92;4088.273;False;False;False;False;False;False;False;False;True;False;False
cc;4166.334;0.184;4166.518;True;False;False;False;False;False;False;False;False;False;False
synch 01:16:30;4177.426;2.211;4179.637000000001;False;False;False;False;False;False;False;False;True;False;False
cc;4199.456;0.131;4199.587;True;False;False;False;False;False;False;False;False;False;False
cc nf;4243.8;0.106;4243.906;True;False;False;False;False;False;False;False;False;False;False
synch 01:19:30;4357.522;1.321;4358.843;False;False;False;False;False;False;False;False;True;False;False
cc %;4358.329;0.144;4358.473;True;False;False;False;False;False;False;False;False;False;False
cc;4428.838;0.145;4428.983;True;False;False;False;False;False;False;False;False;False;False
synch 01:21:00;4447.5;0.833;4448.333;False;False;False;False;False;False;False;False;True;False;False
cc;4448.556;0.162;4448.718;True;False;False;False;False;False;False;False;False;False;False
cc;4504.619;0.143;4504.762;True;False;False;False;False;False;False;False;False;False;False
cc;4516.326;0.12;4516.446;True;False;False;False;False;False;False;False;False;False;False
synch 01:22:30;4537.632;2.31;4539.942;False;False;False;False;False;False;False;False;True;False;False
cc;4571.127;0.148;4571.275000000001;True;False;False;False;False;False;False;False;False;False;False
s;4576.898;0.029;4576.927000000001;False;True;False;False;False;False;False;False;False;False;False
s;4577.699;0.034;4577.732999999999;False;True;False;False;False;False;False;False;False;False;False
s;4578.651;0.034;4578.6849999999995;False;True;False;False;False;False;False;False;False;False;False
s;4581.651;0.03;4581.681;False;True;False;False;False;False;False;False;False;False;False
s nf;4582.16;0.027;4582.187;False;True;False;False;False;False;False;False;False;False;False
soc;4583.051;0.214;4583.265;False;False;False;False;False;True;False;False;False;False;False
s;4583.343;0.038;4583.380999999999;False;True;False;False;False;False;False;False;False;False;False
