Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;3600.0;0.0;3600.0;False;False;False;False;False;False;False;False;False;False;True
CCX;3602.588;0.183;3602.771;True;False;False;False;False;False;False;False;False;False;False
CC;3621.889;0.101;3621.9900000000002;True;False;False;False;False;False;False;False;False;False;False
CC;3632.745;0.114;3632.859;True;False;False;False;False;False;False;False;False;False;False
CC;3640.665;0.18;3640.845;True;False;False;False;False;False;False;False;False;False;False
CC;3642.166;0.161;3642.327;True;False;False;False;False;False;False;False;False;False;False
CC*;3647.079;0.147;3647.226;True;False;False;False;False;False;False;False;False;False;False
CC;3675.608;0.135;3675.7430000000004;True;False;False;False;False;False;False;False;False;False;False
SN;3689.351;0.053;3689.404;False;True;False;False;False;False;False;False;False;False;False
HYB(SN+MOV)?!;3705.163;0.134;3705.297;False;False;False;False;False;False;False;False;False;True;False
MOV*?;3707.687;0.184;3707.871;False;False;True;False;False;False;False;False;False;False;False
MOV*?;3707.889;0.078;3707.967;False;False;True;False;False;False;False;False;False;False;False
MOV*?;3708.479;0.193;3708.672;False;False;True;False;False;False;False;False;False;False;False
CC;3712.803;0.136;3712.939;True;False;False;False;False;False;False;False;False;False;False
MOV NONFOC?;3730.602;0.2;3730.8019999999997;False;False;True;False;False;False;False;False;False;False;False
CC;3733.083;0.14;3733.223;True;False;False;False;False;False;False;False;False;False;False
CCX;3743.716;0.17;3743.886;True;False;False;False;False;False;False;False;False;False;False
MOV!;3744.512;0.192;3744.704;False;False;True;False;False;False;False;False;False;False;False
UNK;3748.176;0.179;3748.355;False;False;False;False;False;False;False;False;False;True;False
HYB[SN+MOV]!;3748.176;0.179;3748.355;False;False;False;False;False;False;False;False;False;True;False
HYB[SN+LD]!;3751.825;0.203;3752.028;False;False;False;False;False;False;False;False;False;True;False
HYB[SN+MOV]!;3753.065;0.198;3753.263;False;False;False;False;False;False;False;False;False;True;False
SN;3753.726;0.056;3753.782;False;True;False;False;False;False;False;False;False;False;False
SN;3757.412;0.045;3757.457;False;True;False;False;False;False;False;False;False;False;False
SN;3757.516;0.039;3757.5550000000003;False;True;False;False;False;False;False;False;False;False;False
SN;3757.802;0.041;3757.8430000000003;False;True;False;False;False;False;False;False;False;False;False
SN;3758.033;0.039;3758.072;False;True;False;False;False;False;False;False;False;False;False
SN;3758.317;0.036;3758.353;False;True;False;False;False;False;False;False;False;False;False
SNX;3758.852;0.041;3758.893;False;True;False;False;False;False;False;False;False;False;False
SN;3758.959;0.023;3758.982;False;True;False;False;False;False;False;False;False;False;False
SN;3759.079;0.05;3759.1290000000004;False;True;False;False;False;False;False;False;False;False;False
SN;3759.186;0.042;3759.228;False;True;False;False;False;False;False;False;False;False;False
SN;3759.436;0.052;3759.4880000000003;False;True;False;False;False;False;False;False;False;False;False
SN;3759.858;0.028;3759.886;False;True;False;False;False;False;False;False;False;False;False
SN;3760.277;0.067;3760.344;False;True;False;False;False;False;False;False;False;False;False
SN;3760.426;0.101;3760.527;False;True;False;False;False;False;False;False;False;False;False
SN*;3761.461;0.038;3761.499;False;True;False;False;False;False;False;False;False;False;False
SN;3761.884;0.04;3761.924;False;True;False;False;False;False;False;False;False;False;False
MOV NONFOC;3763.567;0.306;3763.873;False;False;True;False;False;False;False;False;False;False;False
MOV NONFOC;3764.812;0.138;3764.95;False;False;True;False;False;False;False;False;False;False;False
SN;3766.959;0.04;3766.999;False;True;False;False;False;False;False;False;False;False;False
SN;3767.186;0.043;3767.2290000000003;False;True;False;False;False;False;False;False;False;False;False
SN;3767.445;0.054;3767.4990000000003;False;True;False;False;False;False;False;False;False;False;False
SN;3767.544;0.044;3767.5879999999997;False;True;False;False;False;False;False;False;False;False;False
SNX;3767.676;0.044;3767.72;False;True;False;False;False;False;False;False;False;False;False
SNX;3767.88;0.061;3767.9410000000003;False;True;False;False;False;False;False;False;False;False;False
SNX;3768.186;0.05;3768.2360000000003;False;True;False;False;False;False;False;False;False;False;False
SNX;3768.597;0.047;3768.6440000000002;False;True;False;False;False;False;False;False;False;False;False
SN;3768.769;0.05;3768.819;False;True;False;False;False;False;False;False;False;False;False
HYB[SN+MOV]?!;3769.344;0.213;3769.5570000000002;False;False;False;False;False;False;False;False;False;True;False
