Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
BEEP 00:51:00;3647.722;0.04;3647.722;False;False;False;False;False;False;False;True;False;False;False
SYNCH 00:51:00;3648.0;0.708;3648.708;False;False;False;False;False;False;False;False;True;False;False
BEEP 00:52:30;3737.859;0.04;3737.859;False;False;False;False;False;False;False;True;False;False;False
SYNCH 00:52:30;3738.14;1.536;3739.676;False;False;False;False;False;False;False;False;True;False;False
START;4140.0;0.0;4140.0;False;False;False;False;False;False;False;False;False;False;True
SN;4142.853;0.034;4142.887;False;True;False;False;False;False;False;False;False;False;False
SN;4144.862;0.034;4144.896;False;True;False;False;False;False;False;False;False;False;False
SN;4145.268;0.034;4145.302;False;True;False;False;False;False;False;False;False;False;False
SN;4145.782;0.034;4145.816;False;True;False;False;False;False;False;False;False;False;False
LEAD;4155.366;0.21;4155.576;False;False;False;False;True;False;False;False;False;False;False
SN;4156.699;0.045;4156.744;False;True;False;False;False;False;False;False;False;False;False
SN;4156.779;0.045;4156.8240000000005;False;True;False;False;False;False;False;False;False;False;False
SN;4156.864;0.048;4156.911999999999;False;True;False;False;False;False;False;False;False;False;False
SN;4158.772;0.027;4158.799;False;True;False;False;False;False;False;False;False;False;False
SN;4159.09;0.045;4159.135;False;True;False;False;False;False;False;False;False;False;False
SN;4159.568;0.042;4159.610000000001;False;True;False;False;False;False;False;False;False;False;False
SN;4159.945;0.036;4159.981;False;True;False;False;False;False;False;False;False;False;False
SN;4160.031;0.032;4160.063;False;True;False;False;False;False;False;False;False;False;False
SN;4160.686;0.041;4160.727;False;True;False;False;False;False;False;False;False;False;False
SN;4160.778;0.041;4160.819;False;True;False;False;False;False;False;False;False;False;False
SN;4161.909;0.045;4161.954;False;True;False;False;False;False;False;False;False;False;False
SN;4161.991;0.047;4162.038;False;True;False;False;False;False;False;False;False;False;False
SN;4162.528;0.035;4162.563;False;True;False;False;False;False;False;False;False;False;False
SN;4163.259;0.033;4163.292;False;True;False;False;False;False;False;False;False;False;False
SN;4164.28;0.035;4164.315;False;True;False;False;False;False;False;False;False;False;False
SN;4164.376;0.032;4164.408;False;True;False;False;False;False;False;False;False;False;False
MOV;4167.085;0.224;4167.309;False;False;True;False;False;False;False;False;False;False;False
MOV;4172.728;0.172;4172.9;False;False;True;False;False;False;False;False;False;False;False
SN;4173.537;0.044;4173.581;False;True;False;False;False;False;False;False;False;False;False
SN;4173.622;0.049;4173.671;False;True;False;False;False;False;False;False;False;False;False
HYB[SOC + LEAD];4174.971;0.185;4175.156;False;False;False;False;False;False;False;False;False;True;False
LEAD;4176.159;0.192;4176.351;False;False;False;False;True;False;False;False;False;False;False
SN$;4176.723;0.039;4176.762;False;True;False;False;False;False;False;False;False;False;False
SN;4176.789;0.053;4176.842;False;True;False;False;False;False;False;False;False;False;False
SN;4176.857;0.033;4176.89;False;True;False;False;False;False;False;False;False;False;False
SN;4177.268;0.031;4177.299;False;True;False;False;False;False;False;False;False;False;False
SN;4177.822;0.039;4177.861;False;True;False;False;False;False;False;False;False;False;False
HYB[SOC + LEAD];4181.2;0.181;4181.380999999999;False;False;False;False;False;False;False;False;False;True;False
SN;4182.882;0.029;4182.911;False;True;False;False;False;False;False;False;False;False;False
SOC;4182.947;0.119;4183.066;False;False;False;False;False;True;False;False;False;False;False
SN;4184.136;0.037;4184.173000000001;False;True;False;False;False;False;False;False;False;False;False
SN;4184.429;0.038;4184.467;False;True;False;False;False;False;False;False;False;False;False
SN;4184.831;0.038;4184.869;False;True;False;False;False;False;False;False;False;False;False
SN;4185.266;0.033;4185.299;False;True;False;False;False;False;False;False;False;False;False
SN;4185.828;0.036;4185.8640000000005;False;True;False;False;False;False;False;False;False;False;False
SN;4186.339;0.036;4186.375;False;True;False;False;False;False;False;False;False;False;False
SN;4187.031;0.038;4187.0689999999995;False;True;False;False;False;False;False;False;False;False;False
SN;4187.253;0.033;4187.286;False;True;False;False;False;False;False;False;False;False;False
SN;4187.6;0.044;4187.644;False;True;False;False;False;False;False;False;False;False;False
SOC;4188.178;0.146;4188.324;False;False;False;False;False;True;False;False;False;False;False
SN;4189.98;0.023;4190.003;False;True;False;False;False;False;False;False;False;False;False
SOC;4191.052;0.176;4191.228;False;False;False;False;False;True;False;False;False;False;False
SOC;4191.511;0.314;4191.825000000001;False;False;False;False;False;True;False;False;False;False;False
HYB[SOC + CC];4193.055;0.144;4193.1990000000005;False;False;False;False;False;False;False;False;False;True;False
SN;4195.322;0.028;4195.35;False;True;False;False;False;False;False;False;False;False;False
