Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;3600.0;0.0;3600.0;False;False;False;False;False;False;False;False;False;False;True
BEEP 1:00:00;3639.148;0.04;3639.148;False;False;False;False;False;False;False;True;False;False;False
SYNCH 1:00:00;3639.269;0.426;3639.6949999999997;False;False;False;False;False;False;False;False;True;False;False
SN;3721.316;0.05;3721.366;False;True;False;False;False;False;False;False;False;False;False
SN;3722.347;0.06;3722.407;False;True;False;False;False;False;False;False;False;False;False
CCX;3726.375;0.181;3726.556;True;False;False;False;False;False;False;False;False;False;False
BEEP 1:01:30;3729.406;0.04;3729.406;False;False;False;False;False;False;False;True;False;False;False
SYNCH 1:01:30;3729.546;1.545;3731.091;False;False;False;False;False;False;False;False;True;False;False
SN;3750.58;0.032;3750.612;False;True;False;False;False;False;False;False;False;False;False
SN;3752.674;0.05;3752.724;False;True;False;False;False;False;False;False;False;False;False
SN;3754.932;0.044;3754.9759999999997;False;True;False;False;False;False;False;False;False;False;False
SN;3755.254;0.036;3755.29;False;True;False;False;False;False;False;False;False;False;False
SN;3759.502;0.044;3759.546;False;True;False;False;False;False;False;False;False;False;False
CCX;3769.438;0.161;3769.599;True;False;False;False;False;False;False;False;False;False;False
CCX;3773.046;0.165;3773.211;True;False;False;False;False;False;False;False;False;False;False
CHEW;3773.156;1.31;3774.466;False;False;False;False;False;False;False;False;False;True;False
SN;3789.757;0.034;3789.791;False;True;False;False;False;False;False;False;False;False;False
CCX;3802.221;0.11;3802.331;True;False;False;False;False;False;False;False;False;False;False
CCX;3805.113;0.146;3805.259;True;False;False;False;False;False;False;False;False;False;False
CCX;3807.856;0.183;3808.039;True;False;False;False;False;False;False;False;False;False;False
BEEP 1:03:00;3819.528;0.04;3819.528;False;False;False;False;False;False;False;True;False;False;False
SYNCH 1:03:00;3819.629;0.97;3820.5989999999997;False;False;False;False;False;False;False;False;True;False;False
CCX;3824.2;0.124;3824.3239999999996;True;False;False;False;False;False;False;False;False;False;False
CCX;3846.134;0.132;3846.266;True;False;False;False;False;False;False;False;False;False;False
CCX;3869.491;0.06;3869.551;True;False;False;False;False;False;False;False;False;False;False
CCX;3879.578;0.117;3879.695;True;False;False;False;False;False;False;False;False;False;False
CCX;3893.567;0.165;3893.732;True;False;False;False;False;False;False;False;False;False;False
BEEP 1:04:30;3909.696;0.04;3909.696;False;False;False;False;False;False;False;True;False;False;False
SYNCH 1:04:30;3909.829;1.771;3911.6000000000004;False;False;False;False;False;False;False;False;True;False;False
CC;3919.68;0.202;3919.882;True;False;False;False;False;False;False;False;False;False;False
Marker 06;3928.89;0.219;3929.109;True;False;False;False;False;False;False;False;False;False;False
CCX;3945.792;0.193;3945.985;True;False;False;False;False;False;False;False;False;False;False
CC NONFOC;3950.712;0.207;3950.919;True;False;False;False;False;False;False;False;False;False;False
CCX NONFOC;3960.135;0.228;3960.3630000000003;True;False;False;False;False;False;False;False;False;False;False
Marker 10;3961.015;0.242;3961.257;True;False;False;False;False;False;False;False;False;False;False
Marker 11;3968.609;0.177;3968.786;True;False;False;False;False;False;False;False;False;False;False
CCX;3982.023;0.183;3982.206;True;False;False;False;False;False;False;False;False;False;False
SN;3996.569;0.054;3996.623;False;True;False;False;False;False;False;False;False;False;False
BEEP 1:06:00;3999.851;0.04;3999.851;False;False;False;False;False;False;False;True;False;False;False
SYNCH 1:06:00;3999.956;0.997;4000.953;False;False;False;False;False;False;False;False;True;False;False
SN;4004.315;0.036;4004.351;False;True;False;False;False;False;False;False;False;False;False
SN;4004.421;0.053;4004.4739999999997;False;True;False;False;False;False;False;False;False;False;False
CCX;4006.246;0.18;4006.426;True;False;False;False;False;False;False;False;False;False;False
LEAD CC;4011.707;0.205;4011.912;False;False;False;False;False;False;False;False;False;True;False
SN;4013.1;0.031;4013.131;False;True;False;False;False;False;False;False;False;False;False
OTHER;4013.16;0.143;4013.303;False;False;False;False;False;False;False;False;False;True;False
SN;4013.885;0.038;4013.9230000000002;False;True;False;False;False;False;False;False;False;False;False
SN;4013.977;0.055;4014.0319999999997;False;True;False;False;False;False;False;False;False;False;False
SN;4014.054;0.048;4014.102;False;True;False;False;False;False;False;False;False;False;False
SN;4014.948;0.041;4014.989;False;True;False;False;False;False;False;False;False;False;False
LEAD;4015.029;0.191;4015.22;False;False;False;False;True;False;False;False;False;False;False
SN;4025.933;0.042;4025.975;False;True;False;False;False;False;False;False;False;False;False
Marker 28;4026.0;0.115;4026.115;True;False;False;False;False;False;False;False;False;False;False
MOVE HYBRID (SN-MOVE);4028.0;0.299;4028.299;False;False;False;False;False;False;False;False;False;True;False
SN;4037.39;0.04;4037.43;False;True;False;False;False;False;False;False;False;False;False
CCX;4039.869;0.233;4040.1020000000003;True;False;False;False;False;False;False;False;False;False;False
LEAD CCX;4047.319;0.27;4047.589;False;False;False;False;False;False;False;False;False;True;False
SN;4054.796;0.042;4054.8379999999997;False;True;False;False;False;False;False;False;False;False;False
CC;4054.839;0.196;4055.035;True;False;False;False;False;False;False;False;False;False;False
CCX;4060.526;0.207;4060.7329999999997;True;False;False;False;False;False;False;False;False;False;False
CC;4064.361;0.184;4064.545;True;False;False;False;False;False;False;False;False;False;False
CHEW;4066.862;3.406;4070.268;False;False;False;False;False;False;False;False;False;True;False
CC;4070.399;0.19;4070.589;True;False;False;False;False;False;False;False;False;False;False
CCX;4078.534;0.179;4078.713;True;False;False;False;False;False;False;False;False;False;False
CHEW;4097.691;2.656;4100.347;False;False;False;False;False;False;False;False;False;True;False
LEAD CC;4169.039;0.191;4169.23;False;False;False;False;False;False;False;False;False;True;False
SN;4176.734;0.052;4176.786;False;True;False;False;False;False;False;False;False;False;False
SN;4176.883;0.042;4176.925;False;True;False;False;False;False;False;False;False;False;False
SN;4177.266;0.04;4177.306;False;True;False;False;False;False;False;False;False;False;False
SN;4180.931;0.023;4180.954;False;True;False;False;False;False;False;False;False;False;False
SN;4181.0;0.062;4181.062;False;True;False;False;False;False;False;False;False;False;False
SN;4182.264;0.019;4182.283;False;True;False;False;False;False;False;False;False;False;False
MOVE;4182.34;0.105;4182.445;False;False;True;False;False;False;False;False;False;False;False
SN;4184.67;0.024;4184.694;False;True;False;False;False;False;False;False;False;False;False
SN;4184.718;0.046;4184.764;False;True;False;False;False;False;False;False;False;False;False
SN;4184.776;0.052;4184.8279999999995;False;True;False;False;False;False;False;False;False;False;False
SN NONFOC;4185.866;0.057;4185.923;False;True;False;False;False;False;False;False;False;False;False
MOVE NONFOC;4186.0;0.148;4186.148;False;False;True;False;False;False;False;False;False;False;False
SN;4186.327;0.018;4186.345;False;True;False;False;False;False;False;False;False;False;False
SNX;4186.576;0.035;4186.611;False;True;False;False;False;False;False;False;False;False;False
SN;4187.142;0.027;4187.169;False;True;False;False;False;False;False;False;False;False;False
