Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;3599.994;0.0;3599.994;False;False;False;False;False;False;False;False;False;False;True
SYNCH 0:50:30;3602.978;1.304;3604.282;False;False;False;False;False;False;False;False;True;False;False
CC;3609.444;0.196;3609.64;True;False;False;False;False;False;False;False;False;False;False
CC;3632.224;0.252;3632.476;True;False;False;False;False;False;False;False;False;False;False
CC;3669.646;0.197;3669.8430000000003;True;False;False;False;False;False;False;False;False;False;False
CC;3675.342;0.197;3675.539;True;False;False;False;False;False;False;False;False;False;False
CCX;3688.931;0.185;3689.116;True;False;False;False;False;False;False;False;False;False;False
SYNCH 0:52:00;3692.933;0.77;3693.703;False;False;False;False;False;False;False;False;True;False;False
CC;3701.333;0.182;3701.515;True;False;False;False;False;False;False;False;False;False;False
CC;3721.874;0.252;3722.1259999999997;True;False;False;False;False;False;False;False;False;False;False
SYNCH 0:52:30;3723.043;1.481;3724.5240000000003;False;False;False;False;False;False;False;False;True;False;False
CCX;3730.721;0.189;3730.91;True;False;False;False;False;False;False;False;False;False;False
CC;3736.261;0.171;3736.432;True;False;False;False;False;False;False;False;False;False;False
CCX;3820.689;0.217;3820.906;True;False;False;False;False;False;False;False;False;False;False
CCX;3831.462;0.231;3831.693;True;False;False;False;False;False;False;False;False;False;False
CCX;3837.234;0.228;3837.462;True;False;False;False;False;False;False;False;False;False;False
SYNCH 0:54:30;3843.107;1.461;3844.5679999999998;False;False;False;False;False;False;False;False;True;False;False
CCX;3856.17;0.215;3856.385;True;False;False;False;False;False;False;False;False;False;False
CCX;3867.729;0.155;3867.884;True;False;False;False;False;False;False;False;False;False;False
CC;3887.605;0.167;3887.772;True;False;False;False;False;False;False;False;False;False;False
CCX;3940.487;0.188;3940.675;True;False;False;False;False;False;False;False;False;False;False
CC;3945.239;0.211;3945.45;True;False;False;False;False;False;False;False;False;False;False
SYNCH 0:59:00;4113.198;0.957;4114.155000000001;False;False;False;False;False;False;False;False;True;False;False
CC;4125.044;0.196;4125.24;True;False;False;False;False;False;False;False;False;False;False
CC;4143.326;0.162;4143.488;True;False;False;False;False;False;False;False;False;False;False
CC;4159.984;0.197;4160.1810000000005;True;False;False;False;False;False;False;False;False;False;False
CC;4168.156;0.177;4168.333;True;False;False;False;False;False;False;False;False;False;False
CC;4176.059;0.213;4176.272;True;False;False;False;False;False;False;False;False;False;False
CCX;4188.293;0.102;4188.3949999999995;True;False;False;False;False;False;False;False;False;False;False
CCX;4220.051;0.208;4220.259;True;False;False;False;False;False;False;False;False;False;False
CCX;4230.074;0.129;4230.2029999999995;True;False;False;False;False;False;False;False;False;False;False
CC;4249.153;0.236;4249.389;True;False;False;False;False;False;False;False;False;False;False
CCX;4259.683;0.172;4259.855;True;False;False;False;False;False;False;False;False;False;False
SYNCH 1:01:30;4263.236;1.466;4264.702;False;False;False;False;False;False;False;False;True;False;False
CC;4270.703;0.16;4270.863;True;False;False;False;False;False;False;False;False;False;False
CCX;4314.706;0.151;4314.857;True;False;False;False;False;False;False;False;False;False;False
CCX;4363.757;0.19;4363.946999999999;True;False;False;False;False;False;False;False;False;False;False
CC;4372.766;0.191;4372.956999999999;True;False;False;False;False;False;False;False;False;False;False
CC;4401.054;0.204;4401.258;True;False;False;False;False;False;False;False;False;False;False
CC;4413.0;0.178;4413.178;True;False;False;False;False;False;False;False;False;False;False
SYNCH 1:04:00;4413.258;0.91;4414.168;False;False;False;False;False;False;False;False;True;False;False
SYNCH 1:05:30;4503.447;1.747;4505.194;False;False;False;False;False;False;False;False;True;False;False
SOC NONFOC;4516.738;0.835;4517.573;False;False;False;False;False;True;False;False;False;False;False
SOC;4532.202;0.396;4532.598;False;False;False;False;False;True;False;False;False;False;False
SOC;4532.665;0.312;4532.977;False;False;False;False;False;True;False;False;False;False;False
SOC;4533.162;0.548;4533.71;False;False;False;False;False;True;False;False;False;False;False
SOCX;4534.403;0.278;4534.6810000000005;False;False;False;False;False;True;False;False;False;False;False
CC;4550.583;0.268;4550.851;True;False;False;False;False;False;False;False;False;False;False
CCX;4553.374;0.21;4553.584;True;False;False;False;False;False;False;False;False;False;False
SYNCH 1:06:30;4563.459;1.799;4565.258;False;False;False;False;False;False;False;False;True;False;False
CC;4578.546;0.161;4578.707;True;False;False;False;False;False;False;False;False;False;False
CC;4622.475;0.249;4622.724;True;False;False;False;False;False;False;False;False;False;False
CC;4638.017;0.226;4638.2429999999995;True;False;False;False;False;False;False;False;False;False;False
CCX;4668.548;0.191;4668.739;True;False;False;False;False;False;False;False;False;False;False
CCX;4676.46;0.186;4676.646;True;False;False;False;False;False;False;False;False;False;False
CCX;4687.999;0.229;4688.228;True;False;False;False;False;False;False;False;False;False;False
CCX;4741.984;0.209;4742.193;True;False;False;False;False;False;False;False;False;False;False
CCX;4749.152;0.188;4749.34;True;False;False;False;False;False;False;False;False;False;False
CCX;4757.716;0.23;4757.946;True;False;False;False;False;False;False;False;False;False;False
CCX;4851.925;0.142;4852.067;True;False;False;False;False;False;False;False;False;False;False
CCX;4883.241;0.258;4883.499;True;False;False;False;False;False;False;False;False;False;False
CC;4906.466;0.192;4906.658;True;False;False;False;False;False;False;False;False;False;False
SYNCH 1:12:30;4923.719;1.606;4925.325;False;False;False;False;False;False;False;False;True;False;False
BEEP 1:15:00;5073.689;0.04;5073.689;False;False;False;False;False;False;False;True;False;False;False
SYNCH 1:15:00;5073.743;1.075;5074.818;False;False;False;False;False;False;False;False;True;False;False
BEEP 1:15:30;5103.727;0.04;5103.727;False;False;False;False;False;False;False;True;False;False;False
SYNCH 1:15:30;5103.856;1.824;5105.679999999999;False;False;False;False;False;False;False;False;True;False;False
CC;5122.859;0.159;5123.018;True;False;False;False;False;False;False;False;False;False;False
SOC NONFOC?;5139.604;0.18;5139.784000000001;False;False;False;False;False;True;False;False;False;False;False
AGG;5167.161;0.238;5167.399;False;False;False;True;False;False;False;False;False;False;False
AGG;5167.424;0.205;5167.629;False;False;False;True;False;False;False;False;False;False;False
CC;5169.605;0.126;5169.731;True;False;False;False;False;False;False;False;False;False;False
CC;5178.487;0.12;5178.607;True;False;False;False;False;False;False;False;False;False;False
CCX;5217.745;0.173;5217.918;True;False;False;False;False;False;False;False;False;False;False
CC;5267.112;0.167;5267.279;True;False;False;False;False;False;False;False;False;False;False
CCX;5271.992;0.17;5272.162;True;False;False;False;False;False;False;False;False;False;False
CC;5315.967;0.14;5316.107;True;False;False;False;False;False;False;False;False;False;False
ALARM;5367.856;0.259;5368.115;False;False;False;False;False;False;True;False;False;False;False
CC;5373.564;0.134;5373.698;True;False;False;False;False;False;False;False;False;False;False
CCX;5383.201;0.194;5383.395;True;False;False;False;False;False;False;False;False;False;False
SYNCH 1:20:30;5403.991;1.934;5405.925;False;False;False;False;False;False;False;False;True;False;False
CCX;5424.841;0.154;5424.995000000001;True;False;False;False;False;False;False;False;False;False;False
CC;5436.41;0.169;5436.579;True;False;False;False;False;False;False;False;False;False;False
CC;5445.724;0.184;5445.908;True;False;False;False;False;False;False;False;False;False;False
CC;5456.741;0.202;5456.943;True;False;False;False;False;False;False;False;False;False;False
CCX;5482.334;0.176;5482.51;True;False;False;False;False;False;False;False;False;False;False
CC;5489.095;0.2;5489.295;True;False;False;False;False;False;False;False;False;False;False
CC;5500.059;0.173;5500.232;True;False;False;False;False;False;False;False;False;False;False
CC;5526.458;0.206;5526.664;True;False;False;False;False;False;False;False;False;False;False
CCX;5550.331;0.203;5550.534000000001;True;False;False;False;False;False;False;False;False;False;False
CC;5573.306;0.198;5573.504;True;False;False;False;False;False;False;False;False;False;False
CC;5576.833;0.21;5577.043;True;False;False;False;False;False;False;False;False;False;False
SYNCH 1:23:30;5584.168;1.987;5586.155;False;False;False;False;False;False;False;False;True;False;False
CCX;5588.067;0.218;5588.285;True;False;False;False;False;False;False;False;False;False;False
CCX;5591.88;0.214;5592.094;True;False;False;False;False;False;False;False;False;False;False
CC;5621.072;0.146;5621.218;True;False;False;False;False;False;False;False;False;False;False
CC;5627.28;0.201;5627.481;True;False;False;False;False;False;False;False;False;False;False
CCX#;5634.236;0.296;5634.532;True;False;False;False;False;False;False;False;False;False;False
CC;5640.519;0.193;5640.712;True;False;False;False;False;False;False;False;False;False;False
CCX;5668.256;0.183;5668.439;True;False;False;False;False;False;False;False;False;False;False
ALARM;5688.467;0.239;5688.705999999999;False;False;False;False;False;False;True;False;False;False;False
ALARM;5689.412;0.208;5689.62;False;False;False;False;False;False;True;False;False;False;False
ALARM;5689.994;0.186;5690.179999999999;False;False;False;False;False;False;True;False;False;False;False
ALARM;5690.476;0.163;5690.638999999999;False;False;False;False;False;False;True;False;False;False;False
ALARM;5690.87;0.122;5690.992;False;False;False;False;False;False;True;False;False;False;False
ALARM;5691.252;0.122;5691.374000000001;False;False;False;False;False;False;True;False;False;False;False
ALARM;5693.842;0.122;5693.964;False;False;False;False;False;False;True;False;False;False;False
ALARM;5694.259;0.108;5694.367;False;False;False;False;False;False;True;False;False;False;False
ALARM;5694.764;0.1;5694.8640000000005;False;False;False;False;False;False;True;False;False;False;False
ALARM;5695.2;0.095;5695.295;False;False;False;False;False;False;True;False;False;False;False
ALARM;5695.669;0.093;5695.762;False;False;False;False;False;False;True;False;False;False;False
ALARM;5696.172;0.104;5696.276;False;False;False;False;False;False;True;False;False;False;False
ALARM;5696.829;0.082;5696.911;False;False;False;False;False;False;True;False;False;False;False
ALARM;5697.261;0.11;5697.371;False;False;False;False;False;False;True;False;False;False;False
ALARM;5697.681;0.111;5697.7919999999995;False;False;False;False;False;False;True;False;False;False;False
ALARM;5697.979;0.117;5698.0960000000005;False;False;False;False;False;False;True;False;False;False;False
ALARM;5698.271;0.093;5698.364;False;False;False;False;False;False;True;False;False;False;False
ALARM;5698.713;0.094;5698.807;False;False;False;False;False;False;True;False;False;False;False
ALARM;5699.151;0.082;5699.233;False;False;False;False;False;False;True;False;False;False;False
ALARM;5699.488;0.1;5699.588000000001;False;False;False;False;False;False;True;False;False;False;False
ALARM;5699.947;0.082;5700.029;False;False;False;False;False;False;True;False;False;False;False
ALARM;5700.384;0.085;5700.469;False;False;False;False;False;False;True;False;False;False;False
ALARM;5710.064;0.141;5710.205;False;False;False;False;False;False;True;False;False;False;False
CCX;5724.349;0.181;5724.53;True;False;False;False;False;False;False;False;False;False;False
CCX;5731.632;0.214;5731.846;True;False;False;False;False;False;False;False;False;False;False
CCX;5737.354;0.195;5737.549;True;False;False;False;False;False;False;False;False;False;False
SOC NONFOC;5746.908;0.759;5747.667;False;False;False;False;False;True;False;False;False;False;False
SOC NONFOC;5748.636;0.939;5749.575000000001;False;False;False;False;False;True;False;False;False;False;False
CC;5751.025;0.231;5751.255999999999;True;False;False;False;False;False;False;False;False;False;False
CC;5793.195;0.249;5793.4439999999995;True;False;False;False;False;False;False;False;False;False;False
SYNCH 1:27:00;5794.277;1.397;5795.674;False;False;False;False;False;False;False;False;True;False;False
CC;5796.3;0.21;5796.51;True;False;False;False;False;False;False;False;False;False;False
CC;5799.788;0.184;5799.972;True;False;False;False;False;False;False;False;False;False;False
CCX;5803.129;0.173;5803.302;True;False;False;False;False;False;False;False;False;False;False
CCX;5805.936;0.224;5806.16;True;False;False;False;False;False;False;False;False;False;False
CC;5819.911;0.162;5820.073;True;False;False;False;False;False;False;False;False;False;False
SYNCH 1:27:30;5824.342;2.012;5826.353999999999;False;False;False;False;False;False;False;False;True;False;False
CC;5844.45;0.258;5844.708;True;False;False;False;False;False;False;False;False;False;False
CC;5847.637;0.234;5847.871;True;False;False;False;False;False;False;False;False;False;False
CCX;5855.568;0.205;5855.773;True;False;False;False;False;False;False;False;False;False;False
CC;5859.176;0.192;5859.368;True;False;False;False;False;False;False;False;False;False;False
CC;5868.41;0.201;5868.611;True;False;False;False;False;False;False;False;False;False;False
SYNCH 1:28:30;5884.365;1.98;5886.344999999999;False;False;False;False;False;False;False;False;True;False;False
CC;5907.692;0.226;5907.918;True;False;False;False;False;False;False;False;False;False;False
CCX;5910.328;0.289;5910.617;True;False;False;False;False;False;False;False;False;False;False
HYB (CC + LEAD);5913.463;0.241;5913.704;False;False;False;False;False;False;False;False;False;True;False
CC;5921.576;0.266;5921.842;True;False;False;False;False;False;False;False;False;False;False
CC;5927.003;0.194;5927.197;True;False;False;False;False;False;False;False;False;False;False
CC;5932.841;0.209;5933.05;True;False;False;False;False;False;False;False;False;False;False
