Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;3674.997;0.0;3674.997;False;False;False;False;False;False;False;False;False;False;True
CC;3687.267;0.132;3687.399;True;False;False;False;False;False;False;False;False;False;False
SN;3717.081;0.026;3717.107;False;True;False;False;False;False;False;False;False;False;False
ALARM;3785.042;0.019;3785.0609999999997;False;False;False;False;False;False;True;False;False;False;False
ALARM;3828.8;0.088;3828.8880000000004;False;False;False;False;False;False;True;False;False;False;False
ALARM;3828.921;0.078;3828.999;False;False;False;False;False;False;True;False;False;False;False
ALARM;3829.044;0.076;3829.12;False;False;False;False;False;False;True;False;False;False;False
ALARM;3832.382;0.064;3832.446;False;False;False;False;False;False;True;False;False;False;False
ALARM;3847.833;0.067;3847.9;False;False;False;False;False;False;True;False;False;False;False
ALARM;3853.909;0.134;3854.043;False;False;False;False;False;False;True;False;False;False;False
ALARM;3856.169;0.084;3856.2529999999997;False;False;False;False;False;False;True;False;False;False;False
ALARM;3856.745;0.084;3856.8289999999997;False;False;False;False;False;False;True;False;False;False;False
ALARM;3858.143;0.056;3858.199;False;False;False;False;False;False;True;False;False;False;False
ALARM;3858.441;0.076;3858.517;False;False;False;False;False;False;True;False;False;False;False
ALARM;3858.688;0.045;3858.733;False;False;False;False;False;False;True;False;False;False;False
ALARM;3858.955;0.067;3859.022;False;False;False;False;False;False;True;False;False;False;False
ALARM;3859.783;0.05;3859.833;False;False;False;False;False;False;True;False;False;False;False
ALARM;3869.144;0.086;3869.2299999999996;False;False;False;False;False;False;True;False;False;False;False
ALARM;3869.595;0.069;3869.6639999999998;False;False;False;False;False;False;True;False;False;False;False
ALARM;3869.96;0.124;3870.084;False;False;False;False;False;False;True;False;False;False;False
ALARM;3870.347;0.057;3870.404;False;False;False;False;False;False;True;False;False;False;False
ALARM;3870.745;0.086;3870.8309999999997;False;False;False;False;False;False;True;False;False;False;False
ALARM;3871.148;0.086;3871.234;False;False;False;False;False;False;True;False;False;False;False
ALARM;3871.535;0.064;3871.5989999999997;False;False;False;False;False;False;True;False;False;False;False
ALARM;3871.89;0.052;3871.942;False;False;False;False;False;False;True;False;False;False;False
ALARM;3872.133;0.187;3872.3199999999997;False;False;False;False;False;False;True;False;False;False;False
ALARM;3872.412;0.055;3872.4669999999996;False;False;False;False;False;False;True;False;False;False;False
ALARM;3872.685;0.038;3872.723;False;False;False;False;False;False;True;False;False;False;False
ALARM;3872.926;0.04;3872.966;False;False;False;False;False;False;True;False;False;False;False
ALARM;3873.166;0.036;3873.202;False;False;False;False;False;False;True;False;False;False;False
ALARM;3873.394;0.057;3873.4509999999996;False;False;False;False;False;False;True;False;False;False;False
ALARM;3873.74;0.06;3873.7999999999997;False;False;False;False;False;False;True;False;False;False;False
ALARM;4053.843;0.238;4054.0809999999997;False;False;False;False;False;False;True;False;False;False;False
ALARM;4054.595;0.191;4054.7859999999996;False;False;False;False;False;False;True;False;False;False;False
ALARM;4055.16;0.136;4055.296;False;False;False;False;False;False;True;False;False;False;False
ALARM;4056.027;0.161;4056.188;False;False;False;False;False;False;True;False;False;False;False
ALARM;4056.502;0.119;4056.621;False;False;False;False;False;False;True;False;False;False;False
ALARM;4056.957;0.161;4057.118;False;False;False;False;False;False;True;False;False;False;False
ALARM;4057.377;0.123;4057.5;False;False;False;False;False;False;True;False;False;False;False
ALARM;4057.763;0.148;4057.911;False;False;False;False;False;False;True;False;False;False;False
ALARM;4058.231;0.076;4058.3070000000002;False;False;False;False;False;False;True;False;False;False;False
ALARM;4058.973;0.077;4059.05;False;False;False;False;False;False;True;False;False;False;False
ALARM;4059.358;0.063;4059.4210000000003;False;False;False;False;False;False;True;False;False;False;False
ALARM;4059.69;0.066;4059.756;False;False;False;False;False;False;True;False;False;False;False
ALARM;4060.098;0.047;4060.145;False;False;False;False;False;False;True;False;False;False;False
ALARM;4060.411;0.059;4060.4700000000003;False;False;False;False;False;False;True;False;False;False;False
ALARM;4060.836;0.072;4060.908;False;False;False;False;False;False;True;False;False;False;False
ALARM;4061.2;0.096;4061.296;False;False;False;False;False;False;True;False;False;False;False
ALARM;4061.531;0.086;4061.6169999999997;False;False;False;False;False;False;True;False;False;False;False
ALARM;4061.937;0.084;4062.0209999999997;False;False;False;False;False;False;True;False;False;False;False
ALARM;4062.221;0.216;4062.437;False;False;False;False;False;False;True;False;False;False;False
ALARM;4062.583;0.122;4062.705;False;False;False;False;False;False;True;False;False;False;False
ALARM;4063.429;0.08;4063.509;False;False;False;False;False;False;True;False;False;False;False
ALARM;4063.85;0.11;4063.96;False;False;False;False;False;False;True;False;False;False;False
ALARM;4064.283;0.114;4064.397;False;False;False;False;False;False;True;False;False;False;False
ALARM;4065.249;0.18;4065.4289999999996;False;False;False;False;False;False;True;False;False;False;False
ALARM;4067.474;0.172;4067.646;False;False;False;False;False;False;True;False;False;False;False
ALARM;4068.952;0.18;4069.132;False;False;False;False;False;False;True;False;False;False;False
ALARM;4072.385;0.135;4072.5200000000004;False;False;False;False;False;False;True;False;False;False;False
ALARM;4073.794;0.172;4073.966;False;False;False;False;False;False;True;False;False;False;False
ALARM;4074.941;0.135;4075.076;False;False;False;False;False;False;True;False;False;False;False
ALARM;4076.271;0.157;4076.4280000000003;False;False;False;False;False;False;True;False;False;False;False
ALARM;4077.744;0.105;4077.849;False;False;False;False;False;False;True;False;False;False;False
ALARM;4078.24;0.097;4078.337;False;False;False;False;False;False;True;False;False;False;False
