Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;3600.0;0.0;3600.0;False;False;False;False;False;False;False;False;False;False;True
CC;3600.964;0.147;3601.111;True;False;False;False;False;False;False;False;False;False;False
CC;3604.277;0.119;3604.396;True;False;False;False;False;False;False;False;False;False;False
CC;3607.335;0.141;3607.476;True;False;False;False;False;False;False;False;False;False;False
CC;3608.933;0.149;3609.082;True;False;False;False;False;False;False;False;False;False;False
CC*?;3609.231;0.168;3609.3990000000003;True;False;False;False;False;False;False;False;False;False;False
CC;3614.027;0.151;3614.178;True;False;False;False;False;False;False;False;False;False;False
CC;3615.505;0.159;3615.664;True;False;False;False;False;False;False;False;False;False;False
CC;3619.647;0.135;3619.782;True;False;False;False;False;False;False;False;False;False;False
CC;3623.212;0.135;3623.347;True;False;False;False;False;False;False;False;False;False;False
CC;3624.401;0.132;3624.533;True;False;False;False;False;False;False;False;False;False;False
CC;3625.951;0.132;3626.083;True;False;False;False;False;False;False;False;False;False;False
CC;3627.928;0.162;3628.0899999999997;True;False;False;False;False;False;False;False;False;False;False
CC;3641.375;0.227;3641.602;True;False;False;False;False;False;False;False;False;False;False
BEEP 00:51:00;3651.458;0.04;3651.498;False;False;False;False;False;False;False;True;False;False;False
SYNCH 00:51:00;3651.708;0.699;3652.407;False;False;False;False;False;False;False;False;True;False;False
CC;3659.888;0.156;3660.044;True;False;False;False;False;False;False;False;False;False;False
CC;3674.789;0.119;3674.9080000000004;True;False;False;False;False;False;False;False;False;False;False
CC;3682.055;0.096;3682.151;True;False;False;False;False;False;False;False;False;False;False
CC;3702.318;0.09;3702.4080000000004;True;False;False;False;False;False;False;False;False;False;False
CC;3708.906;0.105;3709.011;True;False;False;False;False;False;False;False;False;False;False
AGG NONFOC?;3719.348;0.331;3719.679;False;False;False;True;False;False;False;False;False;False;False
SN;3719.352;0.03;3719.382;False;True;False;False;False;False;False;False;False;False;False
