Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;511.996;0.0;511.996;False;False;False;False;False;False;False;False;False;False;True
sq s+cc;518.932;0.141;519.073;True;False;False;False;False;False;False;False;False;False;False
cc;530.07;0.111;530.181;True;False;False;False;False;False;False;False;False;False;False
cc;533.361;0.145;533.506;True;False;False;False;False;False;False;False;False;False;False
cc;542.13;0.128;542.258;True;False;False;False;False;False;False;False;False;False;False
s nf;546.332;0.058;546.39;False;True;False;False;False;False;False;False;False;False;False
cc;546.522;0.121;546.643;True;False;False;False;False;False;False;False;False;False;False
s nf;546.665;0.045;546.7099999999999;False;True;False;False;False;False;False;False;False;False;False
s nf;546.831;0.047;546.878;False;True;False;False;False;False;False;False;False;False;False
cc;563.617;0.113;563.73;True;False;False;False;False;False;False;False;False;False;False
cc;617.592;0.108;617.6999999999999;True;False;False;False;False;False;False;False;False;False;False
cc;633.925;0.128;634.053;True;False;False;False;False;False;False;False;False;False;False
cc;650.63;0.104;650.734;True;False;False;False;False;False;False;False;False;False;False
cc;663.724;0.128;663.8520000000001;True;False;False;False;False;False;False;False;False;False;False
fu mov+ld;667.716;0.178;667.894;False;False;False;False;False;False;False;False;False;True;False
cc;674.371;0.15;674.521;True;False;False;False;False;False;False;False;False;False;False
cc;680.954;0.128;681.082;True;False;False;False;False;False;False;False;False;False;False
cc;684.062;0.134;684.196;True;False;False;False;False;False;False;False;False;False;False
cc;693.831;0.174;694.005;True;False;False;False;False;False;False;False;False;False;False
cc;700.038;0.111;700.149;True;False;False;False;False;False;False;False;False;False;False
cc;704.519;0.141;704.66;True;False;False;False;False;False;False;False;False;False;False
sq s+cc;709.248;0.176;709.4240000000001;True;False;False;False;False;False;False;False;False;False;False
cc x;774.9;0.154;775.054;True;False;False;False;False;False;False;False;False;False;False
skipon;777.335;0.0;777.335;False;False;False;False;False;False;False;False;False;False;True
cc;780.094;0.119;780.2130000000001;True;False;False;False;False;False;False;False;False;False;False
soc x;780.665;0.128;780.793;False;False;False;False;False;True;False;False;False;False;False
soc x;781.634;0.121;781.755;False;False;False;False;False;True;False;False;False;False;False
soc;784.699;0.117;784.8159999999999;False;False;False;False;False;True;False;False;False;False;False
soc;785.568;0.121;785.689;False;False;False;False;False;True;False;False;False;False;False
