Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;3902.0;0.0;3902.0;False;False;False;False;False;False;False;False;False;False;True
fu cc+agg;3911.22;0.103;3911.323;False;False;False;False;False;False;False;False;False;True;False
unk nf;3912.257;0.058;3912.315;False;False;False;False;False;False;False;False;False;True;False
cc nf;3915.972;0.16;3916.132;True;False;False;False;False;False;False;False;False;False;False
cc nf;3918.14;0.118;3918.258;True;False;False;False;False;False;False;False;False;False;False
cc;3926.116;0.127;3926.243;True;False;False;False;False;False;False;False;False;False;False
cc;3929.92;0.099;3930.0190000000002;True;False;False;False;False;False;False;False;False;False;False
cc;3932.796;0.118;3932.9139999999998;True;False;False;False;False;False;False;False;False;False;False
cc;3933.909;0.113;3934.022;True;False;False;False;False;False;False;False;False;False;False
cc *;3936.042;0.146;3936.188;True;False;False;False;False;False;False;False;False;False;False
cc;3937.816;0.122;3937.9379999999996;True;False;False;False;False;False;False;False;False;False;False
cc nf;3939.188;0.094;3939.282;True;False;False;False;False;False;False;False;False;False;False
cc * x;3940.819;0.089;3940.908;True;False;False;False;False;False;False;False;False;False;False
cc x;3945.682;0.113;3945.7949999999996;True;False;False;False;False;False;False;False;False;False;False
cc *;3948.525;0.094;3948.619;True;False;False;False;False;False;False;False;False;False;False
cc *;3950.247;0.089;3950.336;True;False;False;False;False;False;False;False;False;False;False
cc nf;3951.459;0.133;3951.5919999999996;True;False;False;False;False;False;False;False;False;False;False
cc *;3956.28;0.103;3956.3830000000003;True;False;False;False;False;False;False;False;False;False;False
cc;3960.095;0.116;3960.211;True;False;False;False;False;False;False;False;False;False;False
synch 01:15:00;3962.799;1.001;3963.8;False;False;False;False;False;False;False;False;True;False;False
cc nf;3964.201;0.12;3964.321;True;False;False;False;False;False;False;False;False;False;False
cc x *;3965.742;0.098;3965.84;True;False;False;False;False;False;False;False;False;False;False
cc x *;3968.567;0.111;3968.678;True;False;False;False;False;False;False;False;False;False;False
cc *;3969.914;0.077;3969.9910000000004;True;False;False;False;False;False;False;False;False;False;False
cc x *;3972.211;0.09;3972.301;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg nf;3974.329;0.15;3974.4790000000003;False;False;False;False;False;False;False;False;False;True;False
cc nf;3975.441;0.129;3975.5699999999997;True;False;False;False;False;False;False;False;False;False;False
cc nf;3978.98;0.09;3979.07;True;False;False;False;False;False;False;False;False;False;False
cc nf;3980.562;0.09;3980.652;True;False;False;False;False;False;False;False;False;False;False
cc nf;3983.623;0.077;3983.7000000000003;True;False;False;False;False;False;False;False;False;False;False
cc nf;3993.909;0.094;3994.003;True;False;False;False;False;False;False;False;False;False;False
cc nf;4002.131;0.124;4002.2549999999997;True;False;False;False;False;False;False;False;False;False;False
cc;4004.384;0.09;4004.474;True;False;False;False;False;False;False;False;False;False;False
cc nf;4004.909;0.116;4005.025;True;False;False;False;False;False;False;False;False;False;False
cc nf;4007.27;0.137;4007.407;True;False;False;False;False;False;False;False;False;False;False
cc nf;4009.854;0.124;4009.9779999999996;True;False;False;False;False;False;False;False;False;False;False
cc x nf;4010.431;0.146;4010.577;True;False;False;False;False;False;False;False;False;False;False
cc nf;4011.57;0.129;4011.699;True;False;False;False;False;False;False;False;False;False;False
cc nf;4014.15;0.146;4014.2960000000003;True;False;False;False;False;False;False;False;False;False;False
