Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;4053.0;0.0;4053.0;False;False;False;False;False;False;False;False;False;False;True
cc;4097.484;0.146;4097.63;True;False;False;False;False;False;False;False;False;False;False
synch 01:15:00;4108.82;1.001;4109.821;False;False;False;False;False;False;False;False;True;False;False
cc  ;4109.561;0.176;4109.737;True;False;False;False;False;False;False;False;False;False;False
synch 01:16:30;4198.894;2.159;4201.053;False;False;False;False;False;False;False;False;True;False;False
cc;4335.495;0.14;4335.635;True;False;False;False;False;False;False;False;False;False;False
cc;4344.659;0.14;4344.799;True;False;False;False;False;False;False;False;False;False;False
cc;4352.638;0.155;4352.793;True;False;False;False;False;False;False;False;False;False;False
cc;4359.937;0.228;4360.165;True;False;False;False;False;False;False;False;False;False;False
cc nf;4362.509;0.14;4362.649;True;False;False;False;False;False;False;False;False;False;False
cc nf;4382.272;0.143;4382.415;True;False;False;False;False;False;False;False;False;False;False
cc nf;4401.17;0.183;4401.353;True;False;False;False;False;False;False;False;False;False;False
s nf;4408.746;0.052;4408.798;False;True;False;False;False;False;False;False;False;False;False
synch 01:21:00;4469.113;1.168;4470.281;False;False;False;False;False;False;False;False;True;False;False
synch 01:22:30;4559.418;1.857;4561.275;False;False;False;False;False;False;False;False;True;False;False
soc nf ?;4633.494;0.07;4633.563999999999;False;False;False;False;False;True;False;False;False;False;False
soc nf;4634.435;0.1;4634.535000000001;False;False;False;False;False;True;False;False;False;False;False
soc nf;4634.716;0.371;4635.087;False;False;False;False;False;True;False;False;False;False;False
cc;4720.213;0.12;4720.333;True;False;False;False;False;False;False;False;False;False;False
synch 01:25:30;4739.463;2.297;4741.759999999999;False;False;False;False;False;False;False;False;True;False;False
cc nf;4751.414;0.143;4751.557;True;False;False;False;False;False;False;False;False;False;False
cc nf;4758.737;0.115;4758.852;True;False;False;False;False;False;False;False;False;False;False
cc;4768.354;0.164;4768.518;True;False;False;False;False;False;False;False;False;False;False
cc;4774.908;0.128;4775.036;True;False;False;False;False;False;False;False;False;False;False
cc;4780.347;0.15;4780.496999999999;True;False;False;False;False;False;False;False;False;False;False
soc;4785.406;0.205;4785.611;False;False;False;False;False;True;False;False;False;False;False
s nf;4800.226;0.054;4800.28;False;True;False;False;False;False;False;False;False;False;False
soc nf;4801.795;0.326;4802.121;False;False;False;False;False;True;False;False;False;False;False
cc;4805.325;0.147;4805.472;True;False;False;False;False;False;False;False;False;False;False
cc nf;4814.095;0.198;4814.293000000001;True;False;False;False;False;False;False;False;False;False;False
cc nf;4815.525;0.198;4815.723;True;False;False;False;False;False;False;False;False;False;False
cc nf;4816.81;0.154;4816.964000000001;True;False;False;False;False;False;False;False;False;False;False
cc nf;4823.083;0.147;4823.23;True;False;False;False;False;False;False;False;False;False;False
cc nf;4827.446;0.126;4827.572;True;False;False;False;False;False;False;False;False;False;False
synch 01:27:00;4829.493;0.87;4830.363;False;False;False;False;False;False;False;False;True;False;False
synch 01:28:30;4919.618;2.242;4921.860000000001;False;False;False;False;False;False;False;False;True;False;False
soc nf;4936.033;0.238;4936.271000000001;False;False;False;False;False;True;False;False;False;False;False
cc nf #;4940.587;0.153;4940.740000000001;True;False;False;False;False;False;False;False;False;False;False
unk nf;4962.511;0.062;4962.573;False;False;False;False;False;False;False;False;False;True;False
s nf;4967.893;0.045;4967.938;False;True;False;False;False;False;False;False;False;False;False
synch 01:30:00;5009.651;0.999;5010.65;False;False;False;False;False;False;False;False;True;False;False
s nf;5023.779;0.027;5023.8060000000005;False;True;False;False;False;False;False;False;False;False;False
s nf;5024.058;0.04;5024.098;False;True;False;False;False;False;False;False;False;False;False
s nf;5024.665;0.044;5024.709;False;True;False;False;False;False;False;False;False;False;False
cc nf;5030.789;0.162;5030.951;True;False;False;False;False;False;False;False;False;False;False
s nf;5035.763;0.028;5035.791;False;True;False;False;False;False;False;False;False;False;False
s nf;5035.836;0.022;5035.858;False;True;False;False;False;False;False;False;False;False;False
s nf;5035.911;0.023;5035.934;False;True;False;False;False;False;False;False;False;False;False
soc nf ?;5044.451;0.103;5044.554;False;False;False;False;False;True;False;False;False;False;False
soc * ?;5044.674;0.106;5044.78;False;False;False;False;False;True;False;False;False;False;False
soc nf ?;5047.022;0.038;5047.0599999999995;False;False;False;False;False;True;False;False;False;False;False
