Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;4049.0;0.0;4049.0;False;False;False;False;False;False;False;False;False;False;True
cc nf;4059.844;0.122;4059.966;True;False;False;False;False;False;False;False;False;False;False
cc x nf;4060.38;0.087;4060.467;True;False;False;False;False;False;False;False;False;False;False
cc nf;4062.404;0.135;4062.539;True;False;False;False;False;False;False;False;False;False;False
cc nf;4064.749;0.09;4064.839;True;False;False;False;False;False;False;False;False;False;False
cc nf;4066.297;0.116;4066.413;True;False;False;False;False;False;False;False;False;False;False
cc nf;4068.613;0.113;4068.7259999999997;True;False;False;False;False;False;False;False;False;False;False
сс;4073.339;0.142;4073.4809999999998;False;False;False;False;False;False;False;False;False;True;False
s nf;4077.021;0.029;4077.05;False;True;False;False;False;False;False;False;False;False;False
synch 01:15:00;4107.091;0.991;4108.082;False;False;False;False;False;False;False;False;True;False;False
cc nf;4114.353;0.109;4114.462;True;False;False;False;False;False;False;False;False;False;False
cc x nf;4115.919;0.135;4116.054;True;False;False;False;False;False;False;False;False;False;False
cc nf;4117.259;0.077;4117.336;True;False;False;False;False;False;False;False;False;False;False
cc nf;4120.223;0.09;4120.313;True;False;False;False;False;False;False;False;False;False;False
cc nf;4124.339;0.129;4124.468;True;False;False;False;False;False;False;False;False;False;False
cc nf x;4126.621;0.083;4126.704;True;False;False;False;False;False;False;False;False;False;False
cc nf;4131.855;0.097;4131.951999999999;True;False;False;False;False;False;False;False;False;False;False
cc;4155.502;0.155;4155.657;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg;4184.169;0.129;4184.298;False;False;False;False;False;False;False;False;False;True;False
cc nf;4191.053;0.129;4191.182;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg;4191.254;0.135;4191.389;False;False;False;False;False;False;False;False;False;True;False
cc nf;4197.15;0.148;4197.298;True;False;False;False;False;False;False;False;False;False;False
synch 01:16:30;4197.289;2.173;4199.4619999999995;False;False;False;False;False;False;False;False;True;False;False
cc;4198.619;0.106;4198.724999999999;True;False;False;False;False;False;False;False;False;False;False
cc nf;4198.726;0.109;4198.835;True;False;False;False;False;False;False;False;False;False;False
cc nf;4203.027;0.138;4203.165;True;False;False;False;False;False;False;False;False;False;False
cc;4205.009;0.148;4205.157;True;False;False;False;False;False;False;False;False;False;False
cc nf;4211.0;0.113;4211.113;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg;4217.023;0.142;4217.165;False;False;False;False;False;False;False;False;False;True;False
cc x nf;4221.721;0.103;4221.824;True;False;False;False;False;False;False;False;False;False;False
cc nf;4224.775;0.106;4224.880999999999;True;False;False;False;False;False;False;False;False;False;False
cc nf;4230.983;0.09;4231.073;True;False;False;False;False;False;False;False;False;False;False
cc nf;4236.087;0.126;4236.213000000001;True;False;False;False;False;False;False;False;False;False;False
cc;4238.377;0.187;4238.564;True;False;False;False;False;False;False;False;False;False;False
cc nf;4239.194;0.151;4239.345;True;False;False;False;False;False;False;False;False;False;False
cc;4248.598;0.142;4248.74;True;False;False;False;False;False;False;False;False;False;False
cc nf;4251.956;0.077;4252.033;True;False;False;False;False;False;False;False;False;False;False
cc nf;4256.589;0.142;4256.731;True;False;False;False;False;False;False;False;False;False;False
cc nf;4262.026;0.132;4262.157999999999;True;False;False;False;False;False;False;False;False;False;False
cc nf;4262.921;0.103;4263.024;True;False;False;False;False;False;False;False;False;False;False
cc nf;4264.985;0.145;4265.13;True;False;False;False;False;False;False;False;False;False;False
ukn;4266.334;0.087;4266.421;False;False;False;False;False;False;False;False;False;True;False
cc x * ;4268.813;0.106;4268.919;True;False;False;False;False;False;False;False;False;False;False
cc nf (x);4269.895;0.077;4269.972000000001;True;False;False;False;False;False;False;False;False;False;False
cc nf;4274.422;0.08;4274.5019999999995;True;False;False;False;False;False;False;False;False;False;False
cc nf;4276.072;0.151;4276.223;True;False;False;False;False;False;False;False;False;False;False
cc nf;4276.68;0.129;4276.809;True;False;False;False;False;False;False;False;False;False;False
cc nf;4282.735;0.116;4282.851;True;False;False;False;False;False;False;False;False;False;False
cc nf;4285.783;0.093;4285.876;True;False;False;False;False;False;False;False;False;False;False
synch 01:18:00;4287.518;1.02;4288.5380000000005;False;False;False;False;False;False;False;False;True;False;False
soc x nf;4292.577;0.164;4292.741;False;False;False;False;False;True;False;False;False;False;False
soc nf;4293.216;0.18;4293.396000000001;False;False;False;False;False;True;False;False;False;False;False
cc nf;4295.468;0.122;4295.59;True;False;False;False;False;False;False;False;False;False;False
cc nf;4297.774;0.119;4297.893;True;False;False;False;False;False;False;False;False;False;False
cc nf;4298.087;0.126;4298.213000000001;True;False;False;False;False;False;False;False;False;False;False
cc nf;4299.634;0.1;4299.734;True;False;False;False;False;False;False;False;False;False;False
cc nf;4300.442;0.09;4300.532;True;False;False;False;False;False;False;False;False;False;False
cc nf;4306.638;0.077;4306.715;True;False;False;False;False;False;False;False;False;False;False
cc nf;4306.974;0.09;4307.064;True;False;False;False;False;False;False;False;False;False;False
cc x nf;4307.615;0.096;4307.710999999999;True;False;False;False;False;False;False;False;False;False;False
cc;4309.75;0.129;4309.879;True;False;False;False;False;False;False;False;False;False;False
cc nf;4310.583;0.093;4310.6759999999995;True;False;False;False;False;False;False;False;False;False;False
cc nf;4324.025;0.103;4324.128;True;False;False;False;False;False;False;False;False;False;False
cc nf;4325.649;0.103;4325.752;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg;4335.627;0.155;4335.782;False;False;False;False;False;False;False;False;False;True;False
cc;4342.598;0.113;4342.711;True;False;False;False;False;False;False;False;False;False;False
cc;4346.927;0.096;4347.022999999999;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg  ;4348.346;0.135;4348.481;False;False;False;False;False;False;False;False;False;True;False
cc nf;4351.074;0.077;4351.151;True;False;False;False;False;False;False;False;False;False;False
fu cc+agg;4352.168;0.155;4352.322999999999;False;False;False;False;False;False;False;False;False;True;False
cc nf  ;4362.499;0.116;4362.615;True;False;False;False;False;False;False;False;False;False;False
