Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;4180.0;0.0;4180.0;False;False;False;False;False;False;False;False;False;False;True
synch 01:22:30;4489.72;2.171;4491.8910000000005;False;False;False;False;False;False;False;False;True;False;False
cc;4558.327;0.146;4558.473;True;False;False;False;False;False;False;False;False;False;False
synch 01:24:00;4579.793;1.199;4580.991999999999;False;False;False;False;False;False;False;False;True;False;False
cc;4609.676;0.105;4609.781;True;False;False;False;False;False;False;False;False;False;False
cc;4638.534;0.148;4638.682;True;False;False;False;False;False;False;False;False;False;False
synch 01:25:30;4669.952;2.294;4672.246;False;False;False;False;False;False;False;False;True;False;False
soc nf;4831.811;0.182;4831.9929999999995;False;False;False;False;False;True;False;False;False;False;False
s nf;4833.382;0.025;4833.406999999999;False;True;False;False;False;False;False;False;False;False;False
s nf;4833.557;0.027;4833.584;False;True;False;False;False;False;False;False;False;False;False
cc nf;4835.217;0.132;4835.348999999999;True;False;False;False;False;False;False;False;False;False;False
soc nf;4836.768;0.198;4836.966;False;False;False;False;False;True;False;False;False;False;False
soc nf;4837.501;0.315;4837.816;False;False;False;False;False;True;False;False;False;False;False
soc nf;4839.383;0.244;4839.6269999999995;False;False;False;False;False;True;False;False;False;False;False
soc nf;4840.811;0.183;4840.994;False;False;False;False;False;True;False;False;False;False;False
soc nf;4842.802;0.193;4842.995;False;False;False;False;False;True;False;False;False;False;False
s nf;4844.199;0.03;4844.228999999999;False;True;False;False;False;False;False;False;False;False;False
soc nf;4846.002;0.267;4846.269;False;False;False;False;False;True;False;False;False;False;False
soc nf;4846.988;0.218;4847.206;False;False;False;False;False;True;False;False;False;False;False
soc nf;4848.044;0.238;4848.282;False;False;False;False;False;True;False;False;False;False;False
soc nf;4848.831;0.253;4849.084;False;False;False;False;False;True;False;False;False;False;False
synch 01:28:30;4850.227;2.105;4852.331999999999;False;False;False;False;False;False;False;False;True;False;False
soc nf;4850.83;0.338;4851.168;False;False;False;False;False;True;False;False;False;False;False
cc nf;4857.154;0.111;4857.265;True;False;False;False;False;False;False;False;False;False;False
cc nf;4858.716;0.116;4858.832;True;False;False;False;False;False;False;False;False;False;False
soc nf;4859.459;0.193;4859.652;False;False;False;False;False;True;False;False;False;False;False
soc nf;4860.0;0.261;4860.261;False;False;False;False;False;True;False;False;False;False;False
soc nf;4860.8;0.296;4861.0960000000005;False;False;False;False;False;True;False;False;False;False;False
soc nf;4861.545;0.393;4861.938;False;False;False;False;False;True;False;False;False;False;False
soc nf;4862.361;0.39;4862.751;False;False;False;False;False;True;False;False;False;False;False
soc nf;4863.076;0.324;4863.4;False;False;False;False;False;True;False;False;False;False;False
soc nf;4864.022;0.254;4864.276;False;False;False;False;False;True;False;False;False;False;False
soc nf;4865.158;0.255;4865.4130000000005;False;False;False;False;False;True;False;False;False;False;False
cc nf;4865.519;0.134;4865.653;True;False;False;False;False;False;False;False;False;False;False
soc nf;4865.756;0.293;4866.049;False;False;False;False;False;True;False;False;False;False;False
soc nf;4866.933;0.225;4867.158;False;False;False;False;False;True;False;False;False;False;False
soc nf;4867.938;0.417;4868.3550000000005;False;False;False;False;False;True;False;False;False;False;False
soc nf;4870.215;0.304;4870.519;False;False;False;False;False;True;False;False;False;False;False
soc nf;4870.784;0.381;4871.165;False;False;False;False;False;True;False;False;False;False;False
soc nf;4871.57;0.404;4871.974;False;False;False;False;False;True;False;False;False;False;False
soc nf;4872.347;0.324;4872.670999999999;False;False;False;False;False;True;False;False;False;False;False
cc nf;4873.0;0.097;4873.097;True;False;False;False;False;False;False;False;False;False;False
s nf;4873.163;0.036;4873.199;False;True;False;False;False;False;False;False;False;False;False
soc nf;4873.213;0.3;4873.513;False;False;False;False;False;True;False;False;False;False;False
cc nf;4875.359;0.071;4875.43;True;False;False;False;False;False;False;False;False;False;False
cc nf;4884.268;0.17;4884.438;True;False;False;False;False;False;False;False;False;False;False
soc nf;4887.262;0.218;4887.48;False;False;False;False;False;True;False;False;False;False;False
soc nf;4887.749;0.352;4888.101;False;False;False;False;False;True;False;False;False;False;False
s *;4888.239;0.037;4888.276;False;True;False;False;False;False;False;False;False;False;False
soc nf;4888.29;0.266;4888.556;False;False;False;False;False;True;False;False;False;False;False
s *;4888.637;0.049;4888.686;False;True;False;False;False;False;False;False;False;False;False
soc nf;4888.726;0.489;4889.214999999999;False;False;False;False;False;True;False;False;False;False;False
soc nf;4889.429;0.421;4889.85;False;False;False;False;False;True;False;False;False;False;False
soc nf;4890.985;0.276;4891.2609999999995;False;False;False;False;False;True;False;False;False;False;False
cc nf;4895.345;0.126;4895.4710000000005;True;False;False;False;False;False;False;False;False;False;False
mo nf;4897.37;0.177;4897.547;False;False;True;False;False;False;False;False;False;False;False
soc nf;4898.047;0.23;4898.276999999999;False;False;False;False;False;True;False;False;False;False;False
s nf;4898.616;0.031;4898.647;False;True;False;False;False;False;False;False;False;False;False
s nf;4898.711;0.035;4898.746;False;True;False;False;False;False;False;False;False;False;False
s nf;4898.961;0.038;4898.999;False;True;False;False;False;False;False;False;False;False;False
fu cc+soc nf;4899.052;0.389;4899.441;False;False;False;False;False;False;False;False;False;True;False
s nf;4899.553;0.02;4899.573;False;True;False;False;False;False;False;False;False;False;False
s nf;4899.77;0.022;4899.792;False;True;False;False;False;False;False;False;False;False;False
soc nf;4899.864;0.735;4900.598999999999;False;False;False;False;False;True;False;False;False;False;False
s nf;4900.103;0.028;4900.131;False;True;False;False;False;False;False;False;False;False;False
s nf;4900.492;0.039;4900.531;False;True;False;False;False;False;False;False;False;False;False
soc nf;4900.558;0.191;4900.749;False;False;False;False;False;True;False;False;False;False;False
s nf;4901.005;0.03;4901.035;False;True;False;False;False;False;False;False;False;False;False
s nf;4901.2;0.031;4901.231;False;True;False;False;False;False;False;False;False;False;False
soc nf;4901.276;0.255;4901.531;False;False;False;False;False;True;False;False;False;False;False
s;4901.712;0.035;4901.747;False;True;False;False;False;False;False;False;False;False;False
sq soc+s nf;4901.949;0.325;4902.273999999999;False;False;False;False;False;False;False;False;False;True;False
cc nf;4902.403;0.126;4902.529;True;False;False;False;False;False;False;False;False;False;False
cc nf;4905.648;0.098;4905.746;True;False;False;False;False;False;False;False;False;False;False
cc nf;4906.73;0.069;4906.799;True;False;False;False;False;False;False;False;False;False;False
unk nf;4908.0;0.065;4908.065;False;False;False;False;False;False;False;False;False;True;False
soc nf;4908.852;0.164;4909.016;False;False;False;False;False;True;False;False;False;False;False
soc nf;4915.071;0.168;4915.239;False;False;False;False;False;True;False;False;False;False;False
soc nf;4917.141;0.14;4917.281;False;False;False;False;False;True;False;False;False;False;False
s nf;4917.754;0.045;4917.799;False;True;False;False;False;False;False;False;False;False;False
s nf;4917.965;0.034;4917.999;False;True;False;False;False;False;False;False;False;False;False
s nf;4918.548;0.041;4918.589;False;True;False;False;False;False;False;False;False;False;False
fu mo+s nf;4918.6;0.128;4918.728;False;False;False;False;False;False;False;False;False;True;False
s nf;4919.442;0.034;4919.476;False;True;False;False;False;False;False;False;False;False;False
