Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
start;3949.0;0.0;3949.0;False;False;False;False;False;False;False;False;False;False;True
cc nf #;3962.15;0.111;3962.261;True;False;False;False;False;False;False;False;False;False;False
cc nf x #;3979.64;0.136;3979.776;True;False;False;False;False;False;False;False;False;False;False
cc nf #;3980.407;0.111;3980.518;True;False;False;False;False;False;False;False;False;False;False
cc nf;3983.721;0.178;3983.899;True;False;False;False;False;False;False;False;False;False;False
cc nf;3985.768;0.105;3985.873;True;False;False;False;False;False;False;False;False;False;False
cc nf;3992.209;0.206;3992.415;True;False;False;False;False;False;False;False;False;False;False
cc;3998.058;0.152;3998.21;True;False;False;False;False;False;False;False;False;False;False
cc nf;3998.47;0.14;3998.6099999999997;True;False;False;False;False;False;False;False;False;False;False
cc nf;4001.188;0.161;4001.349;True;False;False;False;False;False;False;False;False;False;False
cc nf;4002.494;0.143;4002.637;True;False;False;False;False;False;False;False;False;False;False
synch 01:03:00;4007.315;0.866;4008.181;False;False;False;False;False;False;False;False;True;False;False
cc nf x;4007.675;0.125;4007.8;True;False;False;False;False;False;False;False;False;False;False
cc nf;4048.585;0.14;4048.725;True;False;False;False;False;False;False;False;False;False;False
cc nf x;4074.72;0.11;4074.83;True;False;False;False;False;False;False;False;False;False;False
cc nf;4079.691;0.115;4079.8059999999996;True;False;False;False;False;False;False;False;False;False;False
cc nf;4081.655;0.145;4081.8;True;False;False;False;False;False;False;False;False;False;False
cc nf;4085.791;0.118;4085.909;True;False;False;False;False;False;False;False;False;False;False
cc nf;4097.345;0.084;4097.429;True;False;False;False;False;False;False;False;False;False;False
synch 01:04:30;4097.468;1.614;4099.081999999999;False;False;False;False;False;False;False;False;True;False;False
cc nf x;4105.176;0.179;4105.3550000000005;True;False;False;False;False;False;False;False;False;False;False
cc nf;4165.972;0.093;4166.065;True;False;False;False;False;False;False;False;False;False;False
cc x;4173.128;0.14;4173.268;True;False;False;False;False;False;False;False;False;False;False
cc;4179.785;0.17;4179.955;True;False;False;False;False;False;False;False;False;False;False
synch 01:06:00;4187.467;0.807;4188.273999999999;False;False;False;False;False;False;False;False;True;False;False
cc;4192.829;0.144;4192.973;True;False;False;False;False;False;False;False;False;False;False
cc nf;4194.971;0.128;4195.098999999999;True;False;False;False;False;False;False;False;False;False;False
cc;4216.458;0.161;4216.619;True;False;False;False;False;False;False;False;False;False;False
cc nf;4234.051;0.194;4234.245000000001;True;False;False;False;False;False;False;False;False;False;False
cc nf x;4236.638;0.217;4236.855;True;False;False;False;False;False;False;False;False;False;False
cc nf x;4242.928;0.171;4243.099;True;False;False;False;False;False;False;False;False;False;False
synch 01:07:30;4277.496;1.859;4279.3550000000005;False;False;False;False;False;False;False;False;True;False;False
cc;4285.251;0.164;4285.415;True;False;False;False;False;False;False;False;False;False;False
cc;4339.746;0.162;4339.908;True;False;False;False;False;False;False;False;False;False;False
synch 01:09:00;4367.429;0.862;4368.291;False;False;False;False;False;False;False;False;True;False;False
cc nf;4396.518;0.099;4396.617;True;False;False;False;False;False;False;False;False;False;False
cc;4415.923;0.152;4416.075;True;False;False;False;False;False;False;False;False;False;False
cc nf;4418.36;0.107;4418.467;True;False;False;False;False;False;False;False;False;False;False
cc nf;4422.173;0.103;4422.276;True;False;False;False;False;False;False;False;False;False;False
cc;4426.51;0.139;4426.649;True;False;False;False;False;False;False;False;False;False;False
cc nf;4438.114;0.163;4438.276999999999;True;False;False;False;False;False;False;False;False;False;False
cc nf #;4438.469;0.139;4438.608;True;False;False;False;False;False;False;False;False;False;False
cc;4442.789;0.146;4442.9349999999995;True;False;False;False;False;False;False;False;False;False;False
s * #;4444.576;0.032;4444.608;False;True;False;False;False;False;False;False;False;False;False
s * #;4445.03;0.032;4445.062;False;True;False;False;False;False;False;False;False;False;False
cc nf;4450.662;0.095;4450.7570000000005;True;False;False;False;False;False;False;False;False;False;False
cc nf;4455.807;0.135;4455.942;True;False;False;False;False;False;False;False;False;False;False
cc nf;4457.212;0.087;4457.299000000001;True;False;False;False;False;False;False;False;False;False;False
synch 01:10:30;4457.555;1.708;4459.263;False;False;False;False;False;False;False;False;True;False;False
cc nf x #;4460.412;0.152;4460.564;True;False;False;False;False;False;False;False;False;False;False
cc nf;4493.888;0.138;4494.026;True;False;False;False;False;False;False;False;False;False;False
cc nf #;4504.309;0.131;4504.4400000000005;True;False;False;False;False;False;False;False;False;False;False
cc nf #;4525.781;0.207;4525.988;True;False;False;False;False;False;False;False;False;False;False
synch 01:12:00;4547.581;0.906;4548.487;False;False;False;False;False;False;False;False;True;False;False
cc;4589.718;0.181;4589.898999999999;True;False;False;False;False;False;False;False;False;False;False
cc;4593.573;0.155;4593.728;True;False;False;False;False;False;False;False;False;False;False
cc x;4602.663;0.172;4602.834999999999;True;False;False;False;False;False;False;False;False;False;False
cc nf #;4603.213;0.153;4603.366;True;False;False;False;False;False;False;False;False;False;False
cc;4605.223;0.162;4605.385;True;False;False;False;False;False;False;False;False;False;False
cc nf x;4606.65;0.149;4606.799;True;False;False;False;False;False;False;False;False;False;False
cc;4609.394;0.157;4609.551;True;False;False;False;False;False;False;False;False;False;False
cc x;4620.789;0.134;4620.923;True;False;False;False;False;False;False;False;False;False;False
beep 01:13:30;4637.453;0.04;4637.493;False;False;False;False;False;False;False;True;False;False;False
synch 01:13:30;4637.595;2.083;4639.678;False;False;False;False;False;False;False;False;True;False;False
cc x;4653.83;0.115;4653.945;True;False;False;False;False;False;False;False;False;False;False
cc x;4697.5;0.117;4697.617;True;False;False;False;False;False;False;False;False;False;False
cc;4712.416;0.176;4712.592000000001;True;False;False;False;False;False;False;False;False;False;False
cc nf x;4712.717;0.112;4712.829;True;False;False;False;False;False;False;False;False;False;False
