Label;Start;Duration;End;cc;sn;mo;agg;ld;soc;al;beep;synch;oth;noise
START;4109.0;0.0;4109.0;False;False;False;False;False;False;False;False;False;False;True
mo;4135.985;0.147;4136.132;False;False;True;False;False;False;False;False;False;False;False
synch 01:15:00;4187.388;0.999;4188.387;False;False;False;False;False;False;False;False;True;False;False
cc x;4188.924;0.169;4189.093;True;False;False;False;False;False;False;False;False;False;False
s;4189.316;0.022;4189.338;False;True;False;False;False;False;False;False;False;False;False
s;4189.393;0.025;4189.418;False;True;False;False;False;False;False;False;False;False;False
s;4189.447;0.028;4189.475;False;True;False;False;False;False;False;False;False;False;False
s;4189.917;0.021;4189.938;False;True;False;False;False;False;False;False;False;False;False
s;4190.275;0.02;4190.295;False;True;False;False;False;False;False;False;False;False;False
s;4190.951;0.019;4190.97;False;True;False;False;False;False;False;False;False;False;False
s;4191.28;0.019;4191.299;False;True;False;False;False;False;False;False;False;False;False
s;4193.082;0.021;4193.103;False;True;False;False;False;False;False;False;False;False;False
s;4193.419;0.018;4193.437;False;True;False;False;False;False;False;False;False;False;False
s;4193.842;0.016;4193.857999999999;False;True;False;False;False;False;False;False;False;False;False
s;4194.235;0.019;4194.254;False;True;False;False;False;False;False;False;False;False;False
s;4194.62;0.01;4194.63;False;True;False;False;False;False;False;False;False;False;False
s;4195.568;0.023;4195.591;False;True;False;False;False;False;False;False;False;False;False
s;4195.961;0.023;4195.984;False;True;False;False;False;False;False;False;False;False;False
s;4196.909;0.024;4196.933;False;True;False;False;False;False;False;False;False;False;False
s;4197.386;0.007;4197.393;False;True;False;False;False;False;False;False;False;False;False
s;4197.806;0.025;4197.830999999999;False;True;False;False;False;False;False;False;False;False;False
s;4198.262;0.017;4198.2789999999995;False;True;False;False;False;False;False;False;False;False;False
s nf;4198.534;0.024;4198.558;False;True;False;False;False;False;False;False;False;False;False
s nf;4199.419;0.02;4199.439;False;True;False;False;False;False;False;False;False;False;False
s nf;4199.78;0.018;4199.798;False;True;False;False;False;False;False;False;False;False;False
s nf;4200.137;0.018;4200.155;False;True;False;False;False;False;False;False;False;False;False
s nf;4201.422;0.031;4201.4529999999995;False;True;False;False;False;False;False;False;False;False;False
s;4202.125;0.016;4202.141;False;True;False;False;False;False;False;False;False;False;False
s x;4204.038;0.015;4204.053;False;True;False;False;False;False;False;False;False;False;False
s;4206.695;0.012;4206.706999999999;False;True;False;False;False;False;False;False;False;False;False
s nf;4210.234;0.025;4210.259;False;True;False;False;False;False;False;False;False;False;False
s nf;4211.214;0.016;4211.23;False;True;False;False;False;False;False;False;False;False;False
